building_id,lat,lng,geometry
771016000.0,39.9476663,-75.159013,POINT (-75.159013 39.9476663)
775519500.0,40.0827871547775,-75.2206941110859,POINT (-75.2206941110859 40.0827871547775)
786487800.0,40.014854,-75.086874,POINT (-75.08687399999999 40.014854)
777253420.0,40.0118301176471,-75.1436703823529,POINT (-75.14367038235289 40.0118301176471)
884073505.0,39.9639776122449,-75.1535852857143,POINT (-75.1535852857143 39.9639776122449)
777141500.0,39.977256,-75.133703,POINT (-75.133703 39.977256)
784408400.0,39.972031,-75.571796,POINT (-75.57179600000001 39.972031)
774571000.0,39.95783695,-75.2165065216152,POINT (-75.2165065216152 39.95783695)
785373600.0,40.038897,-75.150156,POINT (-75.150156 40.038897)
784167600.0,40.074469,-75.203661,POINT (-75.203661 40.074469)
784473400.0,40.0376013673469,-75.1891738979592,POINT (-75.18917389795919 40.0376013673469)
883401700.0,39.949084875,-75.157153,POINT (-75.15715299999999 39.949084875)
883336000.0,39.950768,-75.164143,POINT (-75.164143 39.950768)
883035500.0,39.9508456326531,-75.1644474285714,POINT (-75.16444742857141 39.9508456326531)
884265000.0,40.0450807578892,-74.9962523979088,POINT (-74.9962523979088 40.0450807578892)
882351850.0,39.916619,-75.179731,POINT (-75.179731 39.916619)
884153505.0,39.9054116024096,-75.1581124096386,POINT (-75.1581124096386 39.9054116024096)
786124800.0,40.0077181403106,-75.1400962451987,POINT (-75.14009624519871 40.0077181403106)
786146001.0,39.996424,-75.104111,POINT (-75.104111 39.996424)
786687200.0,39.9972148,-75.1403785541184,POINT (-75.1403785541184 39.9972148)
784108400.0,39.986922,-75.174221,POINT (-75.174221 39.986922)
774157500.0,39.973118,-75.21406,POINT (-75.21406 39.973118)
783181200.0,39.9376905561731,-75.2112373653315,POINT (-75.2112373653315 39.9376905561731)
883720300.0,39.9556532,-75.1682188776906,POINT (-75.16821887769061 39.9556532)
785372800.0,39.9356774,-77.6658672,POINT (-77.66586719999999 39.9356774)
786010200.0,40.09604,-75.057636,POINT (-75.057636 40.09604)
884142260.0,39.9086826255731,-75.1593149876526,POINT (-75.15931498765261 39.9086826255731)
884292596.0,40.1095285275036,-74.9796266839731,POINT (-74.97962668397309 40.1095285275036)
774606005.0,39.9769051363636,-75.2263133636364,POINT (-75.22631336363639 39.9769051363636)
784003600.0,40.058529,-75.195046,POINT (-75.195046 40.058529)
781042400.0,39.93688495,-75.153973106685,POINT (-75.153973106685 39.93688495)
785575000.0,39.9894339166667,-75.1448088333333,POINT (-75.1448088333333 39.9894339166667)
884227005.0,40.064713,-75.0205311111111,POINT (-75.0205311111111 40.064713)
785360600.0,40.054845,-75.1389,POINT (-75.13890000000001 40.054845)
884201600.0,39.997058,-75.100366,POINT (-75.10036599999999 39.997058)
884062510.0,39.961814,-75.161729,POINT (-75.16172899999999 39.961814)
771645110.0,39.8174047,-75.4154035285714,POINT (-75.4154035285714 39.8174047)
771251200.0,39.9274877714286,-75.1620984,POINT (-75.1620984 39.9274877714286)
883063100.0,39.95387855,-75.182615557829,POINT (-75.182615557829 39.95387855)
886806600.0,39.9671592857143,-75.1612095714286,POINT (-75.1612095714286 39.9671592857143)
884179500.0,40.0219979,-75.0377637,POINT (-75.0377637 40.0219979)
884213000.0,40.010354,-75.06438,POINT (-75.06438 40.010354)
771032100.0,39.9704070408163,-75.1501265918367,POINT (-75.1501265918367 39.9704070408163)
781049800.0,39.94797865,-75.1447657706204,POINT (-75.1447657706204 39.94797865)
884288400.0,40.0923100976333,-75.0125020055081,POINT (-75.0125020055081 40.0923100976333)
775001000.0,40.07950105,-75.2121330312244,POINT (-75.2121330312244 40.07950105)
772508070.0,39.9461555,-75.163688,POINT (-75.16368799999999 39.9461555)
773224000.0,39.9098272929293,-75.1825670505051,POINT (-75.1825670505051 39.9098272929293)
778130000.0,40.042193,-75.050578,POINT (-75.050578 40.042193)
883741000.0,39.9134601,-75.2433867,POINT (-75.2433867 39.9134601)
771618000.0,39.9549608,-75.1548285384964,POINT (-75.1548285384964 39.9549608)
783172380.0,39.9746780740741,-75.2048263703704,POINT (-75.2048263703704 39.9746780740741)
786002100.0,40.0748151,-75.0018667,POINT (-75.00186669999999 40.0748151)
884177825.0,40.0127718617021,-75.0576460744681,POINT (-75.0576460744681 40.0127718617021)
773151500.0,39.9523338333333,-75.2071695,POINT (-75.20716950000001 39.9523338333333)
784401200.0,40.05138495,-75.2384280974225,POINT (-75.2384280974225 40.05138495)
786550200.0,40.013575,-75.073804,POINT (-75.073804 40.013575)
774713050.0,39.9589734864865,-75.2372256756757,POINT (-75.2372256756757 39.9589734864865)
786033600,40.020529,-75.059282,POINT (-75.059282 40.020529)
884048000,40.443648,-75.327622,POINT (-75.32762200000001 40.443648)
883073300,39.9566469,-75.1978212,POINT (-75.19782120000001 39.9566469)
772199000,39.956578,-75.166171,POINT (-75.16617100000001 39.956578)
884292516,40.113315,-74.969724,POINT (-74.969724 40.113315)
883701000,39.94908785,-75.1648650745882,POINT (-75.16486507458821 39.94908785)
782092400,39.9522899,-75.1776507939139,POINT (-75.1776507939139 39.9522899)
771020500,39.9485693,-75.1591721,POINT (-75.15917210000001 39.9485693)
771021000,39.9489121428571,-75.1557895102041,POINT (-75.1557895102041 39.9489121428571)
771020000,39.94872895,-75.1579642999027,POINT (-75.1579642999027 39.94872895)
771020000,39.94869285,-75.157568176917,POINT (-75.157568176917 39.94869285)
883026005,39.9488083125,-75.164197875,POINT (-75.164197875 39.9488083125)
883060510,39.9586299791667,-75.17053571875,POINT (-75.17053571875 39.9586299791667)
883056605,39.95471565,-75.1684998948392,POINT (-75.1684998948392 39.95471565)
883705320,39.95142825,-75.1603182863497,POINT (-75.16031828634971 39.95142825)
771002000,39.944414,-75.15522,POINT (-75.15522 39.944414)
773009000,39.94994805,-75.1940962080679,POINT (-75.1940962080679 39.94994805)
884114205,40.0109015102041,-75.1123020204082,POINT (-75.11230202040819 40.0109015102041)
774002001,39.959469,-75.197188,POINT (-75.197188 39.959469)
771004000,39.9471729166667,-75.15433525,POINT (-75.15433525 39.9471729166667)
772032010,39.944544,-75.172047,POINT (-75.17204700000001 39.944544)
882497505,40.5277638,-75.5094952,POINT (-75.5094952 40.5277638)
883053525,39.9535608,-75.1694908,POINT (-75.16949080000001 39.9535608)
782513600,39.9630842857143,-75.1653600204082,POINT (-75.1653600204082 39.9630842857143)
782640200,39.9661968823529,-75.1624364705882,POINT (-75.1624364705882 39.9661968823529)
883324100,39.952607244898,-75.1772455102041,POINT (-75.1772455102041 39.952607244898)
882020850,39.9495914,-75.1654433,POINT (-75.16544330000001 39.9495914)
883040500,39.9494509,-75.1660838,POINT (-75.1660838 39.9494509)
771020000,39.948591,-75.157534,POINT (-75.157534 39.948591)
771006900,39.9479901,-75.1562434037442,POINT (-75.1562434037442 39.9479901)
771013000,39.949945,-75.157238,POINT (-75.15723800000001 39.949945)
883704500,39.952543,-75.1606040792705,POINT (-75.1606040792705 39.952543)
883704600,39.8236158777778,-75.419896020202,POINT (-75.419896020202 39.8236158777778)
771005500,39.9464029,-75.1538824295978,POINT (-75.1538824295978 39.9464029)
