building_id,street_address,postal_code,energy_star_score,property_name
786457800.0,2824 JENKS ST,19137.0,5,Bridesburg
884213400.0,5700 Tacony Street,19135.0,73,"Brenntag Specialties, Inc."
781490600.0,400 W PORTER ST,19148.0,45,Taggart
785531600.0,4901 RISING SUN AVE,19120.0,71,Feltonville Intermediate
785177400.0,5100 N 3RD ST,19120.0,9,Morrison
883019502.0,1218 Chestnut St,19102.0,88,Bailey
781052550.0,211 S. Columbus Blvd,19106.0,Not Available,Independence Seaport Museum
781485800.0,725 SOUTH 5TH ST,19147.0,72,Meredith
884114000.0,3901 G street,19124.0,Not Available,3901 G street
772727205.0,300 South Broad Street,19102.0,Not Available,Kimmel Center for the Performing Arts
771016000.0,1001 Locust Street,19107.0,54,Hamilton Building
775519500.0,9230 Germantown Ave,19118.0,Not Available,"Chestnut Hill College, Sugarloaf Hill"
786487800.0,4500 GRISCOM ST,19124.0,48,Marshall J
777253420.0,3890 N. 10th St.,19140.0,Not Available,The Lenfest Center
884073505.0,913 Wallace Street,19123.0,90,913 Wallace Street
777141500.0,1901 N Front St,19125.0,27,Kensington HS CAPA
784408400.0,201 SPRING LANE,19124.0,49,Lankenau
774571000.0,4725 Chestnut Street,19139.0,Not Available,West Philadelphia Regional Center
785373600.0,1700 W OLNEY AVE,19141.0,26,Central HS
784167600.0,8301 GERMANTOWN AVE,19118.0,38,Jenks John
784473400.0,6340 WAYNE AVE,19144.0,63,Lingelbach
883401700.0,107 South 10th Street,19107.0,Not Available,Urban Growth Property
883336000.0,100 S. Broad St.,19110.0,84,Land Title Building
883035500.0,1420 Chestnut St,19103.0,65,1420-22 Chestnut Street
884265000.0,9130 State Road,19136.0,96,Clear Channel Outdoor
882351850.0,1901 Johnston Street,19145.0,58,07715-Oregon & 19th
884153505.0,3400 S. Lawrence St.,19148.0,Not Available,Samuels and Son Seafood
786124800.0,660 E Erie Ave,19134.0,13,Police Tactical / Warehouse
786146001.0,3400 FRANKFORD AVE,19134.0,37,Webster
786687200.0,3001 N 6TH ST,19133.0,48,Potter-Thomas
784108400.0,2498 W DIAMOND ST,19121.0,29,Dick
774157500.0,4601 W. Girard Avenue,19131.0,63,Global Leadership Academy Charter School
783181200.0,5014 Grays Avenue,19143.0,Not Available,Bartram Transfer Station- Fleet Shop 290
883720300.0,1700 Benjamin Franklin Parkway,19103.0,82,The Windsor Suites
785372800.0,1300 W LOUDON ST,19141.0,36,Cooke
786010200.0,600 SHARON LANE,19115.0,90,Greenberg
884142260.0,600 packer avenue,19148.0,85,Sysco Philadelphia Food Service Warehouse
884292596.0,2722 Commerce Way,19154.0,32,Select Nutrition Distributors
774606005.0,5160 LANCASTER AVE,19131.0,2,GLC 13030/5160 LANCASTER AVE/PHILADELPHIA/PA
784003600.0,7300 RURAL LANE,19119.0,30,Houston
781042400.0,601 CARPENTER ST,19147.0,18,Nebinger
785575000.0,720 WEST CUMBERLAND ST,19133.0,46,Hartranft
884227005.0,9300 Ashton Rd,19114.0,61,Frankford Candy
785360600.0,6701 N 13TH ST,19126.0,42,Ellwood
884201600.0,2100 E. Venango Street,19134.0,Not Available,"Richard Hoffman, LLP"
884062510.0,440 N BROAD ST,19130.0,20,Admin - Education Center
771645110.0,714 Market Street,19106.0,81,The Center at 714 Market
771251200.0,1730 S 10th St,19148.0,98,SS Neumann Goretti High School
883063100.0,2970 Market Street,19104.0,84,IRS 30th Street Campus (165)
886806600.0,1415 Fairmount Avenue,19130.0,Not Available,JBJ Soul Homes
884179500.0,6601 New State Rd,19135.0,29,Freedom International
884213000.0,2251 Fraley Street,19137.0,100,Bridge Industrial Center Associates
771032100.0,801 W. Girard Avenue,19122.0,100,Girard Medical Center
781049800.0,200 CHESTNUT STREET,19106.0,86,PA0144ZZ - PHILADELPHIA CUSTOMHOUSE
884288400.0,2760 Red Lion Road,19114.0,61,Philadelphia
777570800.0,2020 N. 13TH,19122.0,Not Available,ANNENBERG and TOMLINSON THEATER
775001000.0,8835 Germantown Ave.,19118.0,52,Chestnut Hill Hospital
772508070.0,311 South Juniper Street,19107.0,30,Juniper Residence Hall
773224000.0,3301 S. 20th. St.,19145.0,Not Available,Calvary Temple Church
778130000.0,3000 Cottman Ave.,19149.0,65,St. Matthew Church (correct)
883741000.0,4521 Island Avenue,19153.0,28,Hawthorn Suites Philadelphia Airport
771618000.0,900 RACE ST,19107.0,Not Available,GLC 16200/900 RACE ST/PHILADELPHIA/PA
783172380.0,4021 PARKSIDE AVE,19104.0,12,School of the Future
786002100.0,9120 ACADEMY RD,19114.0,16,Holme
884177825.0,5825 Tacony St,19135.0,Not Available,Eastern Surplus
773151500.0,4209 SPRUCE ST,19104.0,10,Penn Alexander
784401200.0,535 SHAWMONT AVE,19128.0,33,Shawmont
786550200.0,2000 WAKELING ST,19124.0,59,Harding
774713050.0,137 S. 58th Street,19139.0,Not Available,West Philadelphia Community
786033600,4501 BENNER ST,19135,37.0,Lawton
884048000,500 E ERIE AVE,19134,86.0,500 Erie Ave
883073300,3701 MARKET ST,19104,1.0,3701 Market St.
772199000,1600 RACE ST,19103,39.0,Friends Select School
884292516,14700 TOWNSEND RD,19154,,NARA
883701000,200 S BROAD ST,19102,11.0,The Bellevue
782092400,2200 CHESTNUT ST,19103,67.0,Greenfield
771020500,1100 WALNUT ST,19107,17.0,Medical Office Building
771021000,122 S 9TH ST,19107,59.0,Edison Building
771020000,1025 WALNUT ST,19107,6.0,College Building
771020000,1015 WALNUT ST,19107,34.0,Curtis Building
883026005,215 S BROAD ST,19107,47.0,215 S. Broad
883060510,3 BENJAMIN FRANKLIN PKWY,19102,88.0,Three Parkway
