w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_pctbpSaved,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_pctbpSaved
5.0,1.0,31.0,22.0,11.0,66.66666666666666,0.0,4.0,30.0,17.0,5.0,44.44444444444444
4.0,1.0,27.0,24.0,7.0,100.0,0.0,4.0,21.0,8.0,2.0,0.0
1.0,6.0,38.0,26.0,18.0,66.66666666666666,1.0,4.0,43.0,23.0,21.0,58.333333333333336
2.0,5.0,38.0,26.0,7.0,60.0,1.0,1.0,37.0,21.0,7.0,54.54545454545454
6.0,6.0,36.0,27.0,13.0,66.66666666666666,0.0,5.0,36.0,19.0,19.0,50.0
15.0,2.0,71.0,53.0,32.0,75.0,12.0,8.0,78.0,60.0,22.0,71.42857142857143
3.0,1.0,51.0,27.0,14.0,28.57142857142857,0.0,4.0,53.0,27.0,6.0,30.0
1.0,9.0,48.0,33.0,10.0,55.55555555555556,0.0,3.0,41.0,20.0,11.0,0.0
4.0,3.0,38.0,27.0,10.0,0.0,1.0,1.0,37.0,23.0,13.0,37.5
7.0,3.0,45.0,32.0,11.0,91.66666666666666,0.0,1.0,28.0,14.0,3.0,0.0
6.0,2.0,37.0,27.0,6.0,50.0,1.0,2.0,33.0,16.0,10.0,25.0
0.0,4.0,40.0,29.0,8.0,66.66666666666666,1.0,0.0,36.0,19.0,9.0,0.0
1.0,4.0,12.0,8.0,7.0,66.66666666666666,0.0,1.0,22.0,9.0,4.0,42.857142857142854
2.0,1.0,37.0,18.0,6.0,28.57142857142857,0.0,1.0,61.0,26.0,11.0,55.55555555555556
3.0,0.0,44.0,29.0,10.0,100.0,6.0,3.0,40.0,22.0,17.0,50.0
0.0,5.0,70.0,37.0,10.0,50.0,10.0,6.0,57.0,31.0,11.0,41.66666666666667
8.0,3.0,41.0,32.0,16.0,66.66666666666666,1.0,3.0,36.0,21.0,17.0,40.0
0.0,1.0,28.0,20.0,9.0,75.0,1.0,4.0,29.0,12.0,6.0,40.0
4.0,4.0,48.0,31.0,18.0,71.42857142857143,4.0,2.0,29.0,17.0,13.0,33.33333333333333
2.0,7.0,50.0,28.0,20.0,66.66666666666666,8.0,1.0,58.0,34.0,12.0,68.75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2.0,2.0,57.0,30.0,14.0,57.14285714285714,6.0,3.0,36.0,27.0,12.0,58.333333333333336
4.0,6.0,37.0,26.0,7.0,0.0,0.0,4.0,56.0,28.0,5.0,50.0
6.0,3.0,55.0,38.0,15.0,78.57142857142857,3.0,4.0,41.0,26.0,10.0,28.57142857142857
14.0,3.0,35.0,27.0,17.0,100.0,5.0,3.0,42.0,27.0,14.0,66.66666666666666
2.0,4.0,58.0,38.0,10.0,60.0,1.0,3.0,46.0,26.0,18.0,33.33333333333333
3.0,2.0,22.0,18.0,12.0,0.0,2.0,9.0,24.0,13.0,9.0,54.54545454545454
5.0,4.0,54.0,42.0,8.0,40.0,3.0,7.0,48.0,29.0,16.0,28.57142857142857
0.0,2.0,80.0,48.0,10.0,60.0,5.0,4.0,67.0,37.0,19.0,69.23076923076923
0.0,3.0,51.0,33.0,11.0,90.9090909090909,2.0,3.0,31.0,23.0,7.0,50.0
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2.0,0.0,25.0,19.0,7.0,100.0,2.0,2.0,38.0,19.0,2.0,45.45454545454545
8.0,2.0,30.0,22.0,17.0,100.0,5.0,6.0,47.0,30.0,11.0,66.66666666666666
1.0,0.0,60.0,38.0,10.0,33.33333333333333,5.0,4.0,41.0,30.0,12.0,66.66666666666666
1.0,4.0,47.0,34.0,5.0,33.33333333333333,3.0,2.0,38.0,17.0,6.0,40.0
14.0,5.0,41.0,31.0,13.0,83.33333333333334,4.0,6.0,43.0,26.0,8.0,50.0
4.0,4.0,34.0,25.0,9.0,33.33333333333333,1.0,4.0,43.0,24.0,19.0,61.53846153846154
5.0,4.0,23.0,22.0,9.0,100.0,3.0,1.0,37.0,17.0,6.0,50.0
5.0,4.0,47.0,34.0,9.0,50.0,3.0,5.0,23.0,17.0,15.0,40.0
0.0,3.0,52.0,31.0,5.0,50.0,2.0,5.0,36.0,17.0,8.0,41.66666666666667
0.0,11.0,58.0,37.0,12.0,42.857142857142854,8.0,13.0,61.0,42.0,15.0,60.0
3.0,1.0,45.0,33.0,15.0,50.0,3.0,11.0,51.0,28.0,20.0,60.0
2.0,2.0,27.0,22.0,7.0,100.0,0.0,5.0,27.0,13.0,12.0,16.666666666666664
1.0,5.0,53.0,33.0,11.0,44.44444444444444,2.0,6.0,43.0,21.0,16.0,50.0
0.0,10.0,57.0,32.0,11.0,61.53846153846154,0.0,7.0,39.0,23.0,8.0,40.0
3.0,4.0,52.0,32.0,21.0,72.72727272727273,9.0,6.0,50.0,34.0,14.0,28.57142857142857
8.0,9.0,59.0,42.0,21.0,70.58823529411765,3.0,4.0,70.0,46.0,15.0,45.45454545454545
9.0,2.0,29.0,25.0,17.0,0.0,7.0,12.0,37.0,24.0,22.0,70.0
2.0,2.0,56.0,36.0,20.0,53.84615384615385,5.0,15.0,38.0,23.0,20.0,33.33333333333333
1.0,3.0,64.0,31.0,12.0,58.82352941176471,3.0,3.0,51.0,29.0,9.0,40.0
3.0,5.0,42.0,30.0,12.0,71.42857142857143,3.0,9.0,29.0,18.0,9.0,37.5
2.0,4.0,58.0,35.0,18.0,55.55555555555556,1.0,3.0,65.0,41.0,2.0,66.66666666666666
3.0,4.0,59.0,40.0,10.0,77.77777777777779,2.0,5.0,35.0,21.0,14.0,60.0
1.0,0.0,19.0,17.0,6.0,,1.0,3.0,14.0,8.0,9.0,57.14285714285714
3.0,4.0,87.0,54.0,12.0,72.22222222222221,1.0,3.0,55.0,41.0,17.0,60.0
5.0,2.0,39.0,30.0,9.0,100.0,3.0,3.0,37.0,26.0,10.0,50.0
9.0,3.0,75.0,56.0,18.0,66.66666666666666,8.0,1.0,63.0,44.0,22.0,60.0
1.0,5.0,50.0,29.0,11.0,58.333333333333336,4.0,3.0,48.0,25.0,15.0,53.333333333333336
10.0,0.0,24.0,21.0,7.0,,0.0,8.0,34.0,17.0,7.0,58.333333333333336
0.0,7.0,40.0,25.0,28.0,33.33333333333333,3.0,6.0,59.0,42.0,11.0,60.0
11.0,7.0,63.0,43.0,23.0,61.53846153846154,5.0,8.0,61.0,36.0,14.0,50.0
7.0,6.0,49.0,30.0,15.0,55.55555555555556,1.0,7.0,47.0,28.0,7.0,25.0
11.0,2.0,28.0,24.0,8.0,0.0,1.0,2.0,43.0,18.0,9.0,66.66666666666666
3.0,1.0,33.0,21.0,8.0,33.33333333333333,1.0,1.0,29.0,14.0,7.0,36.36363636363637
1.0,3.0,30.0,23.0,13.0,0.0,1.0,3.0,34.0,19.0,15.0,40.0
