surface,winner_hand,winner_ht,winner_age,winner_rank,loser_name,loser_hand,loser_ht,loser_age,loser_rank,score,num_sets
Hard,R,173.0,25.96851472,42.0,Eugenie Bouchard,R,178.0,21.87542779,47.0,6-1 6-2,2
Hard,R,173.0,25.96851472,42.0,Johanna Larsson,R,174.0,27.40041068,54.0,6-1 6-1,2
Hard,R,178.0,21.87542779,47.0,Dominika Cibulkova,R,161.0,26.68309377,37.0,6-1 4-6 6-4,3
Hard,R,173.0,25.96851472,42.0,Mona Barthel,R,185.0,25.50308008,45.0,W/O,0
Hard,R,174.0,27.40041068,54.0,Heather Watson,R,170.0,23.64681725,53.0,3-6 6-4 6-4,3
Hard,R,161.0,26.68309377,37.0,Kiki Bertens,R,182.0,24.08761123,103.0,7-5 6-3,2
Hard,R,178.0,21.87542779,47.0,Camila Giorgi,R,168.0,24.03285421,35.0,6-3 6-2,2
Hard,R,185.0,25.50308008,45.0,Naomi Osaka,R,180.0,18.23682409,145.0,7-6(2) 6-2,2
Hard,R,173.0,25.96851472,42.0,Veronica Cepede Royg,R,163.0,23.97262149,142.0,6-4 5-7 6-2,3
Hard,R,170.0,23.64681725,53.0,Monica Niculescu,R,168.0,28.29568789,38.0,6-7(3) 6-2 7-6(3),3
Hard,R,174.0,27.40041068,54.0,Margarita Gasparyan,R,183.0,21.36071184,60.0,6-3 3-6 6-3,3
Hard,R,182.0,24.08761123,103.0,Annika Beck,R,170.0,21.90006845,56.0,6-3 6-1,2
Hard,R,161.0,26.68309377,37.0,Kimberly Birrell,U,,17.70294319,341.0,6-1 6-0,2
Hard,R,178.0,21.87542779,47.0,Alison Van Uytvanck,R,173.0,21.79603012,44.0,6-4 7-5,2
Hard,R,168.0,24.03285421,35.0,Nao Hibino,R,163.0,21.11978097,58.0,6-2 6-3,2
Hard,R,185.0,25.50308008,45.0,Misaki Doi,L,159.0,24.70362765,65.0,6-4 6-4,2
Hard,R,180.0,18.23682409,145.0,Jarmila Gajdosova,R,174.0,28.7118412,110.0,6-7(6) 7-6(8) 6-4,3
Hard,R,163.0,23.97262149,142.0,Laura Pous Tio,U,173.0,31.27720739,188.0,6-3 2-6 6-1,3
Hard,R,173.0,25.96851472,42.0,Denisa Allertova,R,180.0,22.84736482,67.0,6-4 7-5,2
Hard,R,168.0,28.29568789,38.0,Christina Mchale,R,170.0,23.66872005,66.0,7-5 7-5,2
Hard,R,170.0,23.64681725,53.0,Teliana Pereira,R,167.0,27.4770705,46.0,6-3 6-0,2
Hard,R,183.0,21.36071184,60.0,Maddison Inglis,U,,17.99041752,780.0,6-4 6-3,2
Hard,R,174.0,27.40041068,54.0,Barbora Zahlavova Strycova,R,164.0,29.79055441,48.0,6-4 6-4,2
Hard,R,182.0,24.08761123,103.0,Madison Brengle,R,168.0,25.77412731,39.0,6-0 1-1 RET,2
Hard,R,170.0,21.90006845,56.0,Kurumi Nara,R,155.0,24.03285421,84.0,6-4 6-3,2
Hard,U,,17.70294319,341.0,Danka Kovinic,R,169.0,21.14715948,55.0,6-4 6-3,2
Hard,R,161.0,26.68309377,37.0,Johanna Konta,R,180.0,24.65434634,49.0,7-6(6) 7-5,2
Hard,R,173.0,21.79603012,44.0,Carina Witthoeft,R,176.0,20.90075291,63.0,6-2 7-6(5),2
Hard,R,178.0,21.87542779,47.0,Bethanie Mattek Sands,R,168.0,30.80355921,64.0,6-2 6-1,2
Hard,R,163.0,21.11978097,58.0,Pauline Parmentier,R,175.0,29.94387406,120.0,7-6(1) 6-1,2
Hard,R,168.0,24.03285421,35.0,Zarina Diyas,R,172.0,22.23134839,52.0,6-4 1-6 6-1,3
Hard,R,174.0,30.54072553,25.0,Monica Puig,R,170.0,22.28884326,94.0,6-0 6-2,2
Hard,R,174.0,30.54072553,25.0,Simona Halep,R,168.0,24.29021218,2.0,7-6(5) 4-6 6-3,3
Hard,R,170.0,22.28884326,94.0,Belinda Bencic,R,175.0,18.83915127,14.0,6-0 RET,1
Hard,R,168.0,24.29021218,2.0,Karolina Pliskova,R,184.0,23.80835044,11.0,6-4 7-5,2
Hard,R,174.0,30.54072553,25.0,Sara Errani,R,164.0,28.70362765,19.0,7-6(1) 6-0,2
Hard,R,175.0,18.83915127,14.0,Ekaterina Makarova,L,178.0,27.59479808,23.0,6-0 2-6 6-4,3
Hard,R,170.0,22.28884326,94.0,Samantha Stosur,R,172.0,31.78370979,27.0,6-4 6-4,2
Hard,R,168.0,24.29021218,2.0,Caroline Garcia,R,177.0,22.23682409,34.0,6-4 2-6 6-1,3
Hard,R,184.0,23.80835044,11.0,Anastasia Pavlyuchenkova,R,177.0,24.52566735,28.0,6-3 6-0,2
Hard,R,174.0,30.54072553,25.0,Sabine Lisicki,R,178.0,26.30253251,32.0,6-3 3-6 6-2,3
Hard,R,164.0,28.70362765,19.0,Jelena Jankovic,R,177.0,30.86652977,21.0,7-6(3) 7-6(8),2
Hard,R,175.0,18.83915127,14.0,Tsvetana Pironkova,R,180.0,28.32854209,61.0,6-3 6-3,2
Hard,L,178.0,27.59479808,23.0,Angelique Kerber,L,173.0,27.98083504,7.0,W/O,0
Hard,R,170.0,22.28884326,94.0,Anna Karolina Schmiedlova,R,176.0,21.32785763,29.0,6-1 6-0,2
Hard,R,172.0,31.78370979,27.0,Daniela Hantuchova,R,181.0,32.72005476,88.0,6-4 6-2,2
Hard,R,177.0,22.23682409,34.0,Kristina Mladenovic,R,184.0,22.66119097,30.0,7-6(4) 6-4,2
Hard,R,177.0,24.52566735,28.0,Lara Arruabarrena,R,166.0,23.8110883,89.0,6-1 7-6(1),2
Hard,R,184.0,23.80835044,11.0,Ana Ivanovic,R,183.0,28.18069815,22.0,6-4 6-2,2
Hard,R,178.0,26.30253251,32.0,Polona Hercog,R,182.0,24.97467488,73.0,6-4 6-3,2
Hard,R,174.0,30.54072553,25.0,Tammi Patterson,R,,26.02053388,462.0,6-2 6-0,2
Hard,R,177.0,30.86652977,21.0,Coco Vandeweghe,R,185.0,24.09856263,41.0,6-3 6-4,2
Hard,R,164.0,28.70362765,19.0,Carla Suarez Navarro,R,162.0,27.35386721,12.0,6-3 6-3,2
Hard,R,175.0,18.83915127,14.0,Mirjana Lucic,R,181.0,33.84257358,69.0,7-6(6) 1-6 6-4,3
Hard,R,180.0,28.32854209,61.0,Lesia Tsurenko,R,174.0,26.61738535,33.0,7-6(6) 6-2,2
Hard,L,178.0,27.59479808,23.0,Lucie Hradecka,R,177.0,30.64202601,57.0,6-2 6-1,2
Hard,L,173.0,27.98083504,7.0,Elina Svitolina,R,174.0,21.33059548,20.0,4-6 6-0 6-3,3
Hard,R,176.0,21.32785763,29.0,Timea Bacsinszky,R,170.0,26.5927447,13.0,1-6 6-1 6-3,3
Hard,R,170.0,22.28884326,94.0,Magdalena Rybarikova,R,180.0,27.26899384,77.0,6-2 3-6 6-4,3
Hard,R,172.0,31.78370979,27.0,Roberta Vinci,R,163.0,32.89527721,15.0,4-6 7-5 7-5,3
Hard,R,175.0,34.31074606,1.0,Camila Giorgi,R,168.0,24.05201917,36.0,6-4 7-5,2
Hard,R,169.0,30.03696099,90.0,Jelena Ostapenko,R,177.0,18.61190965,81.0,3-6 7-5 6-1,3
Hard,R,174.0,18.05886379,87.0,Urszula Radwanska,R,177.0,25.11430527,108.0,0-6 6-4 6-3,3
Hard,R,170.0,18.69952088,69.0,Anna Karolina Schmiedlova,R,176.0,21.34702259,29.0,6-3 6-3,2
Hard,R,183.0,21.3798768,58.0,Sara Errani,R,164.0,28.72279261,19.0,1-6 7-5 6-1,3
Hard,R,155.0,24.05201917,94.0,Oceane Dodin,R,183.0,19.23340178,147.0,7-6 6-2,2
Hard,L,172.0,25.63723477,162.0,Mariana Duque Marino,R,169.0,26.43394935,77.0,6-2 2-1,2
Hard,R,163.0,21.0294319,76.0,Caroline Wozniacki,R,177.0,25.52224504,18.0,1-6 7-6 6-4,3
Hard,R,175.0,18.85831622,13.0,Alison Riske,R,175.0,25.54414784,88.0,6-4 6-3,2
Hard,R,179.0,22.69130732,60.0,Heather Watson,R,170.0,23.6659822,79.0,6-7 7-5 7-5,3
Hard,R,175.0,29.44558522,92.0,Ajla Tomljanovic,R,180.0,22.69952088,67.0,7-6 6-3,2
Hard,R,174.0,30.55989049,20.0,Daniela Hantuchova,R,181.0,32.73921971,89.0,6-0 6-2,2
Hard,R,157.0,22.275154,103.0,Anastasia Pavlyuchenkova,R,177.0,24.54483231,28.0,1-6 6-3 6-4,3
Hard,R,180.0,27.2881588,75.0,Yanina Wickmayer,R,182.0,26.24503765,41.0,3-6 6-3 7-5,3
Hard,R,174.0,21.82614648,105.0,Evgeniya Rodina,R,170.0,26.95140315,91.0,6-3 7-6,2
Hard,R,188.0,28.75017112,5.0,Nao Hibino,R,163.0,21.13894593,56.0,6-1 6-3,2
Hard,R,170.0,26.86926762,4.0,Christina Mchale,R,170.0,23.68788501,65.0,6-2 6-3,2
Hard,R,178.0,21.89459274,37.0,Aleksandra Krunic,R,163.0,22.84462697,119.0,6-3 6-4,2
Hard,R,170.0,22.30800821,52.0,Magda Linette,R,171.0,23.93155373,93.0,6-3 6-0,2
Hard,L,184.0,23.8275154,114.0,Samantha Stosur,R,172.0,31.80287474,27.0,6-4 7-6,2
Hard,R,172.0,24.0109514,102.0,Sloane Stephens,R,170.0,22.83093771,26.0,6-3 6-3,2
Hard,R,174.0,21.96030116,82.0,Lourdes Dominguez Lino,R,163.0,34.80082136,100.0,7-6 2-6 6-1,3
Hard,R,163.0,25.70841889,74.0,Anna Tatishvili,R,171.0,25.95482546,101.0,6-4 3-6 8-6,3
Hard,R,163.0,32.91444216,15.0,Tamira Paszek,R,165.0,25.11704312,126.0,6-4 6-2,2
Hard,R,162.0,27.37303217,11.0,Viktorija Golubic,R,169.0,23.25530459,149.0,7-5 6-4,2
Hard,R,172.0,20.48459959,170.0,Yafan Wang,R,170.0,21.71937029,138.0,6-4 1-6 6-3,3
Hard,R,168.0,28.31485284,40.0,Teliana Pereira,R,167.0,27.49623546,46.0,6-2 6-1,2
Hard,R,176.0,19.76728268,109.0,Andrea Petkovic,R,180.0,28.35865845,25.0,7-5 6-4,2
Hard,R,184.0,22.68035592,30.0,Dominika Cibulkova,R,161.0,26.70225873,38.0,6-3 6-4,2
Hard,R,168.0,22.87748118,106.0,Klara Koukalova,R,166.0,33.897330600000004,99.0,6-2 2-6 6-1,3
Hard,R,166.0,21.87268994,39.0,Lucie Hradecka,R,177.0,30.66119097,53.0,7-6 6-4,2
Hard,L,183.0,25.86447639,7.0,Luksika Kumkhum,R,167.0,22.49418207,158.0,6-3 6-1,2
Hard,L,173.0,28.0,6.0,Misaki Doi,L,159.0,24.72279261,64.0,6-7 7-6 6-3,3
Hard,R,172.0,26.63655031,61.0,Storm Sanders,L,,21.43737166,355.0,6-4 6-2,2
Hard,R,168.0,25.79329227,49.0,Coco Vandeweghe,R,185.0,24.11772758,42.0,6-3 6-4,2
Hard,R,174.0,27.41957563,50.0,Irina Camelia Begu,R,181.0,25.3963039,31.0,6-3 6-2,2
