tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets
2017-M007,Miami,Hard,128,P,20170320,259,201397,,,Shuai Peng,R,173.0,CHN,31.19507187,43.0,1270.0,201614,21.0,,Caroline Garcia,R,177.0,FRA,23.42505133,23.0,1815.0,6-4 6-0,3,R64,75.0,2.0,1.0,45.0,25.0,17.0,9.0,8.0,0.0,2.0,2.0,3.0,53.0,30.0,15.0,7.0,8.0,6.0,12.0,2
2017-M007,Miami,Hard,128,P,20170320,258,201325,14.0,,Samantha Stosur,R,172.0,AUS,32.97193703,19.0,2010.0,202458,,WC,Ashleigh Barty,R,166.0,AUS,20.90349076,91.0,664.0,6-4 6-4,3,R64,80.0,4.0,3.0,73.0,45.0,30.0,19.0,10.0,6.0,6.0,5.0,2.0,55.0,34.0,23.0,12.0,10.0,0.0,2.0,2
2017-M007,Miami,Hard,128,P,20170320,257,202427,10.0,,Johanna Konta,R,180.0,GBR,25.84257358,11.0,3545.0,205925,,Q,Aliaksandra Sasnovich,R,174.0,BLR,22.99520876,120.0,501.0,6-2 6-7(5) 6-4,3,R64,159.0,6.0,0.0,100.0,67.0,45.0,20.0,15.0,6.0,8.0,0.0,12.0,101.0,64.0,44.0,14.0,15.0,3.0,8.0,3
2017-M007,Miami,Hard,128,P,20170320,256,201426,,,Pauline Parmentier,R,175.0,FRA,31.132101300000002,57.0,958.0,201693,24.0,,Timea Babos,R,179.0,HUN,23.86036961,27.0,1675.0,6-7(1) 6-2 6-0,3,R64,173.0,3.0,4.0,94.0,60.0,43.0,17.0,13.0,1.0,2.0,1.0,0.0,81.0,55.0,33.0,11.0,13.0,4.0,10.0,3
2017-M007,Miami,Hard,128,P,20170320,255,202418,,,Lara Arruabarrena,R,166.0,ESP,24.99931554,72.0,818.0,201593,28.0,,Irina Camelia Begu,R,181.0,ROU,26.56536619,28.0,1617.0,3-6 6-4 6-3,3,R64,126.0,1.0,7.0,86.0,45.0,30.0,16.0,14.0,7.0,12.0,5.0,6.0,87.0,53.0,32.0,14.0,14.0,6.0,12.0,3
2017-M007,Miami,Hard,128,P,20170320,254,201619,8.0,,Madison Keys,R,178.0,USA,22.086242300000002,9.0,4007.0,203530,,,Viktorija Golubic,R,169.0,SUI,24.42436687,53.0,995.0,6-1 6-2,3,R64,67.0,2.0,1.0,51.0,31.0,23.0,11.0,8.0,5.0,6.0,0.0,6.0,58.0,38.0,18.0,7.0,7.0,10.0,15.0,2
2017-M007,Miami,Hard,128,P,20170320,253,202469,6.0,,Garbine Muguruza,R,182.0,ESP,23.44695414,6.0,4790.0,201539,,,Christina Mchale,R,170.0,USA,24.856947299999998,46.0,1245.0,0-6 7-6(6) 6-4,3,R64,142.0,2.0,6.0,80.0,46.0,29.0,16.0,14.0,5.0,12.0,0.0,6.0,98.0,70.0,42.0,14.0,14.0,13.0,18.0,3
2017-M007,Miami,Hard,128,P,20170320,252,201533,30.0,,Shuai Zhang,R,177.0,CHN,28.15879535,33.0,1480.0,201506,,,Sara Errani,R,164.0,ITA,29.89185489,102.0,613.0,4-6 6-4 7-5,3,R64,164.0,6.0,4.0,105.0,68.0,37.0,17.0,16.0,12.0,20.0,0.0,6.0,108.0,78.0,37.0,14.0,16.0,8.0,17.0,3
2017-M007,Miami,Hard,128,P,20170320,251,201514,,,Sorana Cirstea,R,176.0,ROU,26.95140315,65.0,877.0,201545,19.0,,Anastasija Sevastova,U,169.0,LAT,26.93497604,25.0,1725.0,7-6(4) 3-6 6-3,3,R64,132.0,3.0,4.0,104.0,50.0,32.0,20.0,15.0,8.0,15.0,2.0,5.0,99.0,62.0,34.0,17.0,15.0,6.0,13.0,3
2017-M007,Miami,Hard,128,P,20170320,250,201496,12.0,,Caroline Wozniacki,R,177.0,DEN,26.69130732,14.0,3225.0,201478,,Q,Varvara Lepchenko,L,180.0,USA,30.83093771,83.0,750.0,6-1 6-2,3,R64,65.0,2.0,1.0,40.0,25.0,22.0,11.0,8.0,1.0,1.0,0.0,3.0,45.0,32.0,18.0,4.0,7.0,4.0,8.0,2
2017-M007,Miami,Hard,128,P,20170320,249,201548,,WC,Ajla Tomljanovic,R,,CRO,23.86858316,594.0,40.0,201455,13.0,,Elena Vesnina,R,176.0,RUS,30.63381246,13.0,3320.0,3-6 6-4 7-5,3,R64,132.0,2.0,11.0,107.0,64.0,40.0,14.0,15.0,8.0,16.0,3.0,12.0,96.0,61.0,33.0,11.0,16.0,8.0,17.0,3
2017-M007,Miami,Hard,128,P,20170320,248,201425,,,Lucie Safarova,L,177.0,CZE,30.12183436,36.0,1411.0,201611,23.0,,Daria Gavrilova,R,166.0,AUS,23.04175222,26.0,1715.0,6-2 6-2,3,R64,73.0,3.0,1.0,49.0,29.0,19.0,13.0,8.0,0.0,1.0,2.0,4.0,50.0,27.0,16.0,8.0,8.0,2.0,7.0,2
2017-M007,Miami,Hard,128,P,20170320,247,201465,,,Kirsten Flipkens,R,165.0,BEL,31.18959617,85.0,705.0,211951,29.0,,Ana Konjuh,R,174.0,CRO,19.22792608,31.0,1527.0,7-6(4) 6-7(6) 6-2,3,R64,168.0,6.0,4.0,122.0,70.0,45.0,22.0,16.0,7.0,13.0,2.0,12.0,121.0,42.0,27.0,34.0,16.0,5.0,13.0,3
2017-M007,Miami,Hard,128,P,20170320,246,201495,4.0,,Dominika Cibulkova,R,161.0,SVK,27.87132101,4.0,5160.0,202705,,Q,Veronica Cepede Royg,R,163.0,PAR,25.16084873,131.0,454.0,6-3 6-2,3,R64,93.0,1.0,3.0,55.0,28.0,19.0,18.0,8.0,2.0,2.0,1.0,6.0,73.0,40.0,22.0,14.0,9.0,5.0,9.0,2
2017-M007,Miami,Hard,128,P,20170320,245,201474,5.0,,Agnieszka Radwanska,R,170.0,POL,28.03832991,8.0,4345.0,202492,,,Qiang Wang,R,172.0,CHN,25.18001369,58.0,949.0,7-6(3) 6-1,3,R64,103.0,0.0,4.0,68.0,39.0,23.0,17.0,9.0,4.0,6.0,1.0,3.0,78.0,46.0,26.0,13.0,10.0,7.0,12.0,2
2017-M007,Miami,Hard,128,P,20170320,244,200002,26.0,,Mirjana Lucic,R,181.0,CRO,35.03080082,29.0,1589.0,201435,,,Kateryna Bondarenko,R,175.0,UKR,30.614647499999997,94.0,645.0,6-2 2-6 7-6(2),3,R64,108.0,4.0,5.0,97.0,54.0,39.0,18.0,14.0,1.0,5.0,4.0,4.0,75.0,43.0,28.0,17.0,14.0,0.0,4.0,3
2017-M007,Miami,Hard,128,P,20170320,243,201499,17.0,,Anastasia Pavlyuchenkova,R,177.0,RUS,25.71389459,17.0,2141.0,201468,,,Yaroslava Shvedova,R,180.0,KAZ,29.51950719,50.0,1090.0,6-7(3) 6-2 6-0,3,R64,119.0,8.0,15.0,86.0,51.0,45.0,11.0,13.0,4.0,5.0,2.0,4.0,96.0,66.0,39.0,11.0,13.0,3.0,9.0,3
2017-M007,Miami,Hard,128,P,20170320,242,201318,,WC,Bethanie Mattek Sands,R,168.0,USA,31.99178645,158.0,363.0,202494,9.0,,Elina Svitolina,R,174.0,UKR,22.51882272,10.0,3850.0,7-5 6-4,3,R64,108.0,3.0,3.0,82.0,52.0,30.0,17.0,11.0,12.0,15.0,2.0,3.0,70.0,39.0,26.0,11.0,11.0,9.0,14.0,2
2017-M007,Miami,Hard,128,P,20170320,241,201366,15.0,,Barbora Zahlavova Strycova,R,164.0,CZE,30.97878166,20.0,1995.0,201596,,,Johanna Larsson,R,174.0,SWE,28.58863792,60.0,940.0,4-6 6-3 7-6(3),3,R64,189.0,1.0,4.0,114.0,72.0,37.0,23.0,16.0,11.0,18.0,1.0,8.0,128.0,89.0,50.0,13.0,15.0,16.0,23.0,3
2017-M007,Miami,Hard,128,P,20170320,240,202450,,Q,Jana Cepelova,R,168.0,SVK,23.80835044,105.0,593.0,201535,18.0,,Coco Vandeweghe,R,185.0,USA,25.28678987,22.0,1878.0,6-2 3-6 6-1,3,R64,109.0,0.0,3.0,92.0,75.0,42.0,8.0,12.0,9.0,13.0,4.0,8.0,78.0,45.0,26.0,11.0,12.0,11.0,18.0,3
2017-M007,Miami,Hard,128,P,20170320,239,201709,27.0,,Yulia Putintseva,R,163.0,KAZ,22.19849418,32.0,1525.0,202489,,,Carina Witthoeft,R,176.0,GER,22.08898015,71.0,827.0,6-4 6-4,3,R64,118.0,1.0,0.0,81.0,52.0,30.0,12.0,10.0,10.0,14.0,0.0,3.0,71.0,54.0,26.0,9.0,10.0,7.0,13.0,2
2017-M007,Miami,Hard,128,P,20170320,238,201662,2.0,,Karolina Pliskova,R,184.0,CZE,24.99657769,3.0,5640.0,201483,,Q,Madison Brengle,R,168.0,USA,26.96235455,86.0,685.0,6-1 6-3,3,R64,59.0,3.0,2.0,46.0,21.0,16.0,14.0,8.0,1.0,2.0,0.0,5.0,51.0,33.0,18.0,4.0,8.0,3.0,8.0,2
2017-M007,Miami,Hard,128,P,20170320,236,202504,,,Ying Ying Duan,R,186.0,CHN,27.79466119,66.0,875.0,201696,,,Laura Siegemund,R,168.0,GER,29.04312115,39.0,1332.0,7-6(6) 6-3,3,R128,116.0,2.0,7.0,71.0,48.0,29.0,8.0,10.0,4.0,8.0,0.0,5.0,83.0,48.0,26.0,12.0,11.0,7.0,13.0,2
2017-M007,Miami,Hard,128,P,20170320,235,201603,,,Shelby Rogers,R,175.0,USA,24.43258042,61.0,939.0,201523,,Q,Marina Erakovic,R,174.0,NZL,29.03764545,107.0,577.0,4-6 6-3 7-6(4),3,R128,159.0,2.0,4.0,99.0,50.0,34.0,24.0,15.0,4.0,9.0,3.0,13.0,110.0,52.0,31.0,28.0,16.0,4.0,10.0,3
2017-M007,Miami,Hard,128,P,20170320,232,201504,,,Julia Goerges,R,180.0,GER,28.37782341,47.0,1150.0,201590,,,Alison Riske,R,175.0,USA,26.71321013,38.0,1370.0,7-5 6-3,3,R128,93.0,5.0,4.0,69.0,32.0,23.0,21.0,11.0,1.0,3.0,0.0,0.0,60.0,44.0,27.0,6.0,10.0,2.0,6.0,2
2017-M007,Miami,Hard,128,P,20170320,231,203552,,Q,Risa Ozaki,R,162.0,JPN,22.9431896,87.0,682.0,211635,,,Louisa Chirico,R,,USA,20.84325804,63.0,922.0,3-6 7-5 6-1,3,R128,126.0,2.0,3.0,84.0,60.0,45.0,11.0,14.0,5.0,8.0,1.0,4.0,105.0,64.0,43.0,16.0,14.0,13.0,18.0,3
2017-M007,Miami,Hard,128,P,20170320,228,206242,,WC,Beatriz Haddad Maia,L,185.0,BRA,20.80492813,166.0,341.0,201615,,,Lesia Tsurenko,R,174.0,UKR,27.80561259,41.0,1295.0,3-2 RET,3,R128,27.0,1.0,0.0,14.0,8.0,7.0,4.0,2.0,0.0,0.0,0.0,1.0,18.0,12.0,7.0,3.0,3.0,0.0,1.0,1
2017-M007,Miami,Hard,128,P,20170320,227,206255,,Q,Patricia Maria Tig,R,180.0,ROU,22.64750171,95.0,636.0,201586,,,Heather Watson,R,170.0,GBR,24.83504449,108.0,575.0,7-6(4) 6-1,3,R128,84.0,2.0,6.0,66.0,37.0,30.0,14.0,10.0,4.0,6.0,5.0,5.0,58.0,38.0,25.0,7.0,9.0,5.0,9.0,2
2017-M007,Miami,Hard,128,P,20170320,224,203501,,Q,Taylor Townsend,L,170.0,USA,20.92539357,111.0,529.0,216153,,WC,Amanda Anisimova,R,,USA,15.55099247,512.0,55.0,2-6 6-2 6-3,3,R128,117.0,0.0,2.0,79.0,54.0,31.0,14.0,12.0,3.0,7.0,0.0,4.0,92.0,47.0,27.0,19.0,13.0,5.0,11.0,3
2017-M007,Miami,Hard,128,P,20170320,223,201605,,,Mandy Minella,R,180.0,LUX,31.32375086,74.0,804.0,201697,,,Kristyna Pliskova,L,184.0,CZE,24.99657769,52.0,1042.0,7-6(4) 5-7 7-5,3,R128,158.0,2.0,7.0,124.0,74.0,45.0,25.0,18.0,3.0,9.0,5.0,6.0,112.0,59.0,38.0,26.0,18.0,7.0,13.0,3
2017-M007,Miami,Hard,128,P,20170320,220,211768,,,Naomi Osaka,R,180.0,JPN,19.42505133,49.0,1113.0,201568,,,Kristina Kucova,R,163.0,SVK,26.82546201,82.0,758.0,6-2 6-3,3,R128,71.0,7.0,1.0,59.0,32.0,25.0,12.0,9.0,1.0,2.0,0.0,1.0,52.0,35.0,18.0,7.0,8.0,2.0,6.0,2
2017-M007,Miami,Hard,128,P,20170320,219,204426,,Q,Anett Kontaveit,R,174.0,EST,21.23750856,112.0,529.0,201597,,Q,Kurumi Nara,R,171.0,JPN,25.22108145,103.0,607.0,6-2 6-1,3,R128,57.0,2.0,2.0,38.0,25.0,20.0,4.0,7.0,1.0,3.0,0.0,2.0,49.0,30.0,12.0,4.0,8.0,1.0,8.0,2
2017-M007,Miami,Hard,128,P,20170320,216,201397,,,Shuai Peng,R,173.0,CHN,31.19507187,43.0,1270.0,203575,,,Danka Kovinic,R,169.0,MNE,22.33538672,78.0,784.0,6-2 0-0 RET,3,R128,49.0,2.0,1.0,26.0,20.0,15.0,3.0,4.0,3.0,3.0,2.0,0.0,30.0,14.0,9.0,5.0,4.0,1.0,3.0,2
2017-M007,Miami,Hard,128,P,20170320,215,202458,,WC,Ashleigh Barty,R,166.0,AUS,20.90349076,91.0,664.0,202446,,,Eugenie Bouchard,R,178.0,CAN,23.06365503,56.0,965.0,6-4 5-7 6-3,3,R128,125.0,5.0,7.0,86.0,34.0,26.0,28.0,15.0,6.0,10.0,6.0,7.0,101.0,54.0,31.0,25.0,16.0,10.0,16.0,3
2017-M007,Miami,Hard,128,P,20170320,212,205925,,Q,Aliaksandra Sasnovich,R,174.0,BLR,22.99520876,120.0,501.0,201427,,,Alize Cornet,R,173.0,FRA,27.15674196,44.0,1267.0,6-4 1-6 6-4,3,R128,157.0,0.0,9.0,109.0,65.0,39.0,17.0,13.0,12.0,18.0,1.0,3.0,96.0,69.0,37.0,14.0,14.0,6.0,12.0,3
2017-M007,Miami,Hard,128,P,20170320,211,201426,,,Pauline Parmentier,R,175.0,FRA,31.132101300000002,57.0,958.0,206219,,,Oceane Dodin,R,183.0,FRA,20.40246407,59.0,947.0,6-2 6-1,3,R128,49.0,2.0,1.0,46.0,22.0,17.0,18.0,8.0,2.0,2.0,1.0,6.0,40.0,19.0,12.0,6.0,7.0,2.0,6.0,2
2017-M007,Miami,Hard,128,P,20170320,208,202418,,,Lara Arruabarrena,R,166.0,ESP,24.99931554,72.0,818.0,212001,,WC,Natalia Vikhlyantseva,U,185.0,RUS,20.08761123,81.0,768.0,7-5 6-1,3,R128,79.0,1.0,1.0,54.0,31.0,22.0,13.0,9.0,1.0,3.0,2.0,8.0,66.0,39.0,23.0,8.0,10.0,8.0,14.0,2
2017-M007,Miami,Hard,128,P,20170320,207,203530,,,Viktorija Golubic,R,169.0,SUI,24.42436687,53.0,995.0,201450,,,Tsvetana Pironkova,R,180.0,BUL,29.51676934,70.0,831.0,3-6 6-1 6-1,3,R128,112.0,0.0,0.0,57.0,34.0,24.0,14.0,11.0,3.0,6.0,2.0,1.0,97.0,64.0,33.0,16.0,12.0,12.0,19.0,3
2017-M007,Miami,Hard,128,P,20170320,204,201539,,,Christina Mchale,R,170.0,USA,24.856947299999998,46.0,1245.0,202470,,,Annika Beck,R,170.0,GER,23.08829569,62.0,925.0,6-7(2) 7-5 6-0,3,R128,180.0,6.0,7.0,119.0,67.0,41.0,22.0,15.0,5.0,11.0,0.0,8.0,112.0,76.0,40.0,9.0,15.0,7.0,17.0,3
2017-M007,Miami,Hard,128,P,20170320,203,201506,,,Sara Errani,R,164.0,ITA,29.89185489,102.0,613.0,202505,,,Belinda Bencic,R,175.0,SUI,20.02737851,135.0,437.0,6-3 4-6 6-3,3,R128,126.0,0.0,4.0,78.0,55.0,32.0,11.0,14.0,4.0,10.0,4.0,6.0,93.0,53.0,30.0,16.0,14.0,7.0,15.0,3
2017-M007,Miami,Hard,128,P,20170320,200,201514,,,Sorana Cirstea,R,176.0,ROU,26.95140315,65.0,877.0,201620,,,Monica Puig,R,170.0,PUR,23.4770705,40.0,1300.0,6-2 6-4,3,R128,69.0,1.0,3.0,47.0,20.0,12.0,15.0,9.0,0.0,3.0,2.0,3.0,55.0,30.0,16.0,9.0,9.0,6.0,12.0,2
2017-M007,Miami,Hard,128,P,20170320,199,201478,,Q,Varvara Lepchenko,L,180.0,USA,30.83093771,83.0,750.0,201616,,,Lauren Davis,R,157.0,USA,23.44421629,34.0,1447.0,6-3 6-3,3,R128,78.0,0.0,1.0,59.0,38.0,26.0,12.0,9.0,1.0,3.0,1.0,4.0,49.0,28.0,14.0,10.0,9.0,1.0,6.0,2
2017-M007,Miami,Hard,128,P,20170320,196,201548,,WC,Ajla Tomljanovic,R,,CRO,23.86858316,594.0,40.0,202663,,LL,Magda Linette,R,171.0,POL,25.10061602,73.0,811.0,6-2 1-6 6-2,3,R128,105.0,4.0,5.0,74.0,42.0,24.0,18.0,11.0,6.0,10.0,5.0,3.0,74.0,47.0,26.0,12.0,12.0,6.0,12.0,3
2017-M007,Miami,Hard,128,P,20170320,195,201425,,,Lucie Safarova,L,177.0,CZE,30.12183436,36.0,1411.0,201518,,,Yanina Wickmayer,R,182.0,BEL,27.41409993,67.0,868.0,7-6(2) 6-4,3,R128,115.0,6.0,6.0,76.0,37.0,28.0,20.0,11.0,6.0,9.0,5.0,5.0,86.0,50.0,32.0,15.0,11.0,5.0,9.0,2
2017-M007,Miami,Hard,128,P,20170320,192,201465,,,Kirsten Flipkens,R,165.0,BEL,31.18959617,85.0,705.0,206108,,,Jennifer Brady,R,178.0,USA,21.93839836,77.0,784.0,3-6 6-3 7-5,3,R128,141.0,0.0,1.0,90.0,58.0,39.0,12.0,15.0,5.0,10.0,7.0,1.0,111.0,56.0,39.0,21.0,15.0,8.0,14.0,3
2017-M007,Miami,Hard,128,P,20170320,191,202705,,Q,Veronica Cepede Royg,R,163.0,PAR,25.16084873,131.0,454.0,201595,,,Misaki Doi,L,159.0,JPN,25.89185489,51.0,1050.0,6-2 6-4,3,R128,83.0,1.0,3.0,58.0,36.0,24.0,10.0,9.0,2.0,5.0,0.0,4.0,64.0,32.0,14.0,14.0,9.0,6.0,12.0,2
2017-M007,Miami,Hard,128,P,20170320,188,202492,,,Qiang Wang,R,172.0,CHN,25.18001369,58.0,949.0,202499,,Q,Donna Vekic,R,179.0,CRO,20.72553046,88.0,675.0,0-6 6-4 6-2,3,R128,104.0,2.0,2.0,81.0,42.0,19.0,18.0,12.0,4.0,12.0,3.0,14.0,89.0,46.0,25.0,15.0,12.0,12.0,20.0,3
2017-M007,Miami,Hard,128,P,20170320,187,201435,,,Kateryna Bondarenko,R,175.0,UKR,30.614647499999997,94.0,645.0,211651,,WC,Paula Badosa,U,,ESP,19.34291581,316.0,132.0,6-4 7-5,3,R128,83.0,3.0,2.0,60.0,40.0,24.0,10.0,11.0,1.0,5.0,1.0,8.0,69.0,34.0,19.0,13.0,11.0,7.0,13.0,2
2017-M007,Miami,Hard,128,P,20170320,184,201468,,,Yaroslava Shvedova,R,180.0,KAZ,29.51950719,50.0,1090.0,201347,,,Jelena Jankovic,R,177.0,SRB,32.05475702,54.0,990.0,4-6 6-4 7-6(3),3,R128,148.0,3.0,2.0,101.0,68.0,50.0,13.0,16.0,3.0,7.0,6.0,9.0,112.0,62.0,41.0,24.0,16.0,3.0,7.0,3
2017-M007,Miami,Hard,128,P,20170320,183,201318,,WC,Bethanie Mattek Sands,R,168.0,USA,31.99178645,158.0,363.0,211701,,,Katerina Siniakova,R,174.0,CZE,20.85968515,37.0,1383.0,6-3 4-6 6-4,3,R128,146.0,1.0,5.0,98.0,54.0,36.0,19.0,15.0,8.0,13.0,5.0,6.0,81.0,45.0,29.0,13.0,14.0,2.0,8.0,3
2017-M007,Miami,Hard,128,P,20170320,180,201596,,,Johanna Larsson,R,174.0,SWE,28.58863792,60.0,940.0,201512,,,Monica Niculescu,R,168.0,ROU,29.48391513,45.0,1255.0,6-3 6-1,3,R128,86.0,0.0,3.0,57.0,43.0,27.0,5.0,8.0,3.0,5.0,0.0,0.0,66.0,54.0,24.0,5.0,8.0,8.0,14.0,2
2017-M007,Miami,Hard,128,P,20170320,179,202450,,Q,Jana Cepelova,R,168.0,SVK,23.80835044,105.0,593.0,201492,,,Andrea Petkovic,R,180.0,GER,29.52772074,76.0,790.0,6-2 6-4,3,R128,72.0,2.0,2.0,54.0,38.0,27.0,8.0,9.0,4.0,6.0,0.0,4.0,61.0,40.0,19.0,9.0,9.0,8.0,13.0,2
2017-M007,Miami,Hard,128,P,20170320,176,202489,,,Carina Witthoeft,R,176.0,GER,22.08898015,71.0,827.0,202484,,WC,Nicole Gibbs,R,168.0,USA,24.04654346,119.0,508.0,6-3 6-3,3,R128,79.0,0.0,2.0,52.0,35.0,20.0,12.0,9.0,4.0,6.0,0.0,2.0,71.0,40.0,18.0,16.0,9.0,11.0,16.0,2
2017-M007,Miami,Hard,128,P,20170320,175,201483,,Q,Madison Brengle,R,168.0,USA,26.96235455,86.0,685.0,211533,,,Jelena Ostapenko,R,177.0,LAT,19.78097194,64.0,905.0,6-3 3-6 6-2,3,R128,119.0,0.0,4.0,85.0,58.0,32.0,12.0,13.0,5.0,11.0,2.0,10.0,103.0,56.0,34.0,15.0,13.0,7.0,15.0,3
2017-0804,Charleston,Clay,64,I,20170403,300,214082,,,Darya Kasatkina,R,170.0,RUS,19.90691307,42.0,1260.0,211533,,,Jelena Ostapenko,R,177.0,LAT,19.81930185,66.0,885.0,6-3 6-1,3,F,66.0,1.0,2.0,57.0,42.0,29.0,7.0,8.0,4.0,5.0,1.0,1.0,44.0,25.0,13.0,6.0,8.0,2.0,7.0,2
2017-0804,Charleston,Clay,64,I,20170403,299,211533,,,Jelena Ostapenko,R,177.0,LAT,19.81930185,66.0,885.0,200002,11.0,,Mirjana Lucic,R,181.0,CRO,35.06913073,23.0,1794.0,6-3 5-7 6-4,3,SF,126.0,6.0,8.0,106.0,60.0,38.0,21.0,16.0,5.0,10.0,5.0,3.0,89.0,56.0,37.0,13.0,15.0,6.0,12.0,3
2017-0804,Charleston,Clay,64,I,20170403,298,214082,,,Darya Kasatkina,R,170.0,RUS,19.90691307,42.0,1260.0,201696,,,Laura Siegemund,R,168.0,GER,29.08145106,37.0,1340.0,3-6 6-2 6-1,3,SF,138.0,0.0,2.0,84.0,68.0,39.0,9.0,12.0,8.0,12.0,0.0,5.0,88.0,64.0,38.0,4.0,12.0,6.0,13.0,3
2017-0804,Charleston,Clay,64,I,20170403,297,200002,11.0,,Mirjana Lucic,R,181.0,CRO,35.06913073,23.0,1794.0,201603,,,Shelby Rogers,R,175.0,USA,24.47091034,52.0,1002.0,6-7(7) 6-1 6-1,3,QF,130.0,3.0,5.0,94.0,69.0,47.0,13.0,13.0,3.0,5.0,3.0,5.0,106.0,70.0,36.0,17.0,13.0,6.0,13.0,3
2017-0804,Charleston,Clay,64,I,20170403,296,211533,,,Jelena Ostapenko,R,177.0,LAT,19.81930185,66.0,885.0,201496,5.0,,Caroline Wozniacki,R,177.0,DEN,26.72963723,12.0,3810.0,6-2 6-4,3,QF,86.0,3.0,0.0,59.0,30.0,22.0,17.0,9.0,4.0,5.0,4.0,0.0,65.0,47.0,26.0,9.0,9.0,4.0,8.0,2
2017-0804,Charleston,Clay,64,I,20170403,295,201696,,,Laura Siegemund,R,,GER,29.08145106,37.0,1340.0,201545,8.0,,Anastasija Sevastova,U,169.0,LAT,26.97330595,26.0,1720.0,6-2 6-4,3,QF,80.0,1.0,2.0,60.0,46.0,29.0,6.0,9.0,4.0,7.0,0.0,1.0,49.0,38.0,17.0,4.0,9.0,1.0,7.0,2
2017-0804,Charleston,Clay,64,I,20170403,294,214082,,,Darya Kasatkina,R,170.0,RUS,19.90691307,42.0,1260.0,201593,10.0,,Irina Camelia Begu,R,181.0,ROU,26.6036961,33.0,1507.0,6-4 6-1,3,QF,72.0,0.0,0.0,51.0,41.0,23.0,7.0,8.0,4.0,7.0,1.0,2.0,51.0,34.0,15.0,5.0,9.0,4.0,11.0,2
2017-0804,Charleston,Clay,64,I,20170403,293,201603,,,Shelby Rogers,R,175.0,USA,24.47091034,52.0,1002.0,211768,,,Naomi Osaka,R,180.0,JPN,19.46338125,49.0,1083.0,6-4 6-2,3,R16,89.0,2.0,0.0,71.0,49.0,32.0,11.0,9.0,7.0,8.0,2.0,0.0,53.0,31.0,17.0,11.0,9.0,1.0,5.0,2
2017-0804,Charleston,Clay,64,I,20170403,292,200002,11.0,,Mirjana Lucic,R,181.0,CRO,35.06913073,23.0,1794.0,202428,7.0,,Kiki Bertens,R,182.0,NED,25.31416838,21.0,1875.0,7-6(5) 6-4,3,R16,107.0,3.0,8.0,89.0,60.0,37.0,11.0,11.0,6.0,10.0,4.0,10.0,80.0,32.0,17.0,23.0,11.0,8.0,13.0,2
2017-0804,Charleston,Clay,64,I,20170403,291,211533,,,Jelena Ostapenko,R,177.0,LAT,19.81930185,66.0,885.0,214541,,Q,Fanny Stollar,R,,HUN,18.39014374,282.0,160.0,6-1 1-0 RET,3,R16,38.0,2.0,0.0,23.0,16.0,12.0,5.0,4.0,1.0,1.0,2.0,2.0,27.0,13.0,7.0,4.0,4.0,2.0,5.0,2
2017-0804,Charleston,Clay,64,I,20170403,290,201496,5.0,,Caroline Wozniacki,R,177.0,DEN,26.72963723,12.0,3810.0,201370,,Q,Anastasia Rodionova,R,167.0,AUS,34.89390828,669.0,30.0,6-3 6-3,3,R16,82.0,0.0,0.0,51.0,42.0,27.0,6.0,9.0,2.0,4.0,1.0,3.0,68.0,47.0,22.0,10.0,9.0,8.0,13.0,2
2017-0804,Charleston,Clay,64,I,20170403,289,201545,8.0,,Anastasija Sevastova,U,169.0,LAT,26.97330595,26.0,1720.0,202460,,LL,Ons Jabeur,R,167.0,TUN,22.5982204,131.0,450.0,7-5 7-6(6),3,R16,104.0,0.0,2.0,90.0,61.0,38.0,15.0,12.0,5.0,8.0,4.0,2.0,78.0,43.0,26.0,17.0,12.0,3.0,7.0,2
2017-0804,Charleston,Clay,64,I,20170403,288,201696,,,Laura Siegemund,R,,GER,29.08145106,37.0,1340.0,201425,15.0,,Lucie Safarova,L,177.0,CZE,30.16016427,28.0,1616.0,6-2 6-3,3,R16,80.0,1.0,2.0,61.0,45.0,29.0,10.0,8.0,6.0,7.0,1.0,3.0,54.0,32.0,16.0,9.0,9.0,2.0,7.0,2
2017-0804,Charleston,Clay,64,I,20170403,287,201593,10.0,,Irina Camelia Begu,R,181.0,ROU,26.6036961,33.0,1507.0,201325,6.0,,Samantha Stosur,R,172.0,AUS,33.01026694,17.0,2120.0,7-5 6-3,3,R16,99.0,5.0,2.0,53.0,41.0,32.0,8.0,10.0,2.0,3.0,2.0,2.0,68.0,48.0,28.0,12.0,11.0,6.0,10.0,2
2017-0804,Charleston,Clay,64,I,20170403,286,214082,,,Darya Kasatkina,R,170.0,RUS,19.90691307,42.0,1260.0,201611,,,Daria Gavrilova,R,166.0,AUS,23.08008214,27.0,1715.0,6-3 4-6 6-0,3,R16,137.0,2.0,0.0,120.0,101.0,54.0,10.0,13.0,14.0,19.0,0.0,2.0,64.0,52.0,22.0,5.0,12.0,2.0,10.0,3
