tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-0602,New Haven,Hard,32,I,20160822,289,202494,10,,Elina Svitolina,R,174.0,UKR,21.94387406,23.0,1797.0,201516,,LL,Evgeniya Rodina,R,170.0,RUS,27.54551677,102.0,624.0,6-3 6-1,3,R16,63.0,1.0,1.0,53.0,38.0,21.0,9.0,8.0,2.0,5.0,1.0,4.0,46.0,32.0,10.0,5.0,8.0,3.0,10.0,2,30.0,40.0
2016-0602,New Haven,Hard,32,I,20160822,277,202494,10,,Elina Svitolina,R,174.0,UKR,21.94387406,23.0,1797.0,214082,,,Darya Kasatkina,R,170.0,RUS,19.2936345,24.0,1773.0,6-4 5-7 6-0,3,R32,122.0,2.0,3.0,89.0,45.0,31.0,20.0,14.0,3.0,7.0,1.0,5.0,90.0,53.0,31.0,13.0,14.0,3.0,10.0,3,30.0,42.857142857142854
2016-560,Us Open,Hard,128,G,20160829,159,202494,22,,Elina Svitolina,R,174.0,UKR,21.96303901,19.0,2101.0,201605,,,Mandy Minella,R,180.0,LUX,30.76796715,110.0,566.0,6-7(5) 6-0 6-2,3,R128,112.0,7.0,3.0,86.0,55.0,40.0,15.0,13.0,3.0,5.0,4.0,7.0,93.0,51.0,33.0,14.0,13.0,8.0,15.0,3,53.333333333333336,60.0
2016-560,Us Open,Hard,128,G,20160829,193,202494,22,,Elina Svitolina,R,174.0,UKR,21.96303901,19.0,2101.0,201616,,,Lauren Davis,R,157.0,USA,22.88843258,105.0,609.0,6-1 4-6 6-3,3,R64,118.0,3.0,1.0,77.0,49.0,33.0,15.0,13.0,5.0,9.0,0.0,2.0,85.0,60.0,31.0,12.0,13.0,4.0,11.0,3,36.36363636363637,55.55555555555556
2016-1056,Tokyo,Hard,32,I,20160919,297,202494,,,Elina Svitolina,R,174.0,UKR,22.02053388,20.0,2101.0,202469,1,,Garbine Muguruza,R,182.0,ESP,22.9486653,3.0,5830.0,6-2 4-6 6-3,3,QF,119.0,1.0,1.0,72.0,47.0,31.0,13.0,14.0,1.0,5.0,7.0,1.0,95.0,60.0,36.0,14.0,13.0,7.0,13.0,3,53.84615384615385,20.0
2016-1056,Tokyo,Hard,32,I,20160919,292,202494,,,Elina Svitolina,R,174.0,UKR,22.02053388,20.0,2101.0,201499,8,,Anastasia Pavlyuchenkova,R,177.0,RUS,25.21560575,17.0,2255.0,7-6(5) 6-4,3,R16,99.0,2.0,1.0,72.0,48.0,31.0,12.0,11.0,5.0,8.0,1.0,7.0,69.0,36.0,28.0,13.0,11.0,4.0,8.0,2,50.0,62.5
2016-1056,Tokyo,Hard,32,I,20160919,283,202494,,,Elina Svitolina,R,174.0,UKR,22.02053388,20.0,2101.0,201535,,,Coco Vandeweghe,R,185.0,USA,24.78850103,32.0,1501.0,6-3 6-4,3,R32,94.0,4.0,2.0,61.0,44.0,29.0,9.0,10.0,1.0,3.0,6.0,2.0,77.0,38.0,28.0,12.0,9.0,6.0,10.0,2,60.0,33.33333333333333
2016-1075,Wuhan,Hard,64,I,20160926,267,202494,,,Elina Svitolina,R,174.0,UKR,22.03969884,18.0,2231.0,201318,,Q,Bethanie Mattek Sands,R,168.0,USA,31.51266256,131.0,475.0,4-6 6-3 6-4,3,R64,158.0,6.0,4.0,97.0,62.0,39.0,11.0,14.0,7.0,13.0,2.0,3.0,135.0,91.0,50.0,18.0,15.0,16.0,24.0,3,66.66666666666666,53.84615384615385
2016-M015,Beijing,Hard,64,P,20161003,297,202494,16,,Elina Svitolina,R,174.0,UKR,22.05886379,19.0,2186.0,201611,,,Daria Gavrilova,R,166.0,AUS,22.58179329,49.0,1160.0,7-6(3) 6-1,3,QF,105.0,0.0,2.0,70.0,44.0,31.0,12.0,9.0,5.0,7.0,3.0,3.0,81.0,45.0,23.0,16.0,10.0,10.0,15.0,2,66.66666666666666,71.42857142857143
2016-M015,Beijing,Hard,64,P,20161003,293,202494,16,,Elina Svitolina,R,174.0,UKR,22.05886379,19.0,2186.0,201493,1,,Angelique Kerber,L,173.0,GER,28.70910335,1.0,8485.0,6-3 7-5,3,R16,89.0,2.0,2.0,75.0,43.0,33.0,14.0,11.0,9.0,11.0,1.0,1.0,67.0,43.0,27.0,10.0,10.0,5.0,9.0,2,55.55555555555556,81.81818181818183
2016-M015,Beijing,Hard,64,P,20161003,284,202494,16,,Elina Svitolina,R,174.0,UKR,22.05886379,19.0,2186.0,201513,,WC,Sabine Lisicki,R,178.0,GER,27.03080082,105.0,620.0,6-4 6-4,3,R32,68.0,2.0,2.0,55.0,31.0,23.0,10.0,10.0,2.0,5.0,8.0,6.0,54.0,35.0,27.0,3.0,10.0,2.0,7.0,2,28.57142857142857,40.0
2016-M015,Beijing,Hard,64,P,20161003,266,202494,16,,Elina Svitolina,R,174.0,UKR,22.05886379,19.0,2186.0,213583,,Q,Tatjana Maria,R,172.0,GER,29.15537303,114.0,538.0,6-2 6-2,3,R64,65.0,0.0,0.0,44.0,24.0,16.0,14.0,8.0,0.0,1.0,1.0,3.0,55.0,28.0,18.0,9.0,8.0,6.0,11.0,2,54.54545454545454,0.0
2016-M014,Moscow,Hard,32,I,20161017,296,202494,4,,Elina Svitolina,R,174.0,UKR,22.0971937,15.0,2511.0,211951,,LL,Ana Konjuh,R,174.0,CRO,18.80629706,58.0,1091.0,6-1 6-1,3,QF,60.0,1.0,1.0,56.0,34.0,22.0,15.0,7.0,5.0,5.0,2.0,7.0,50.0,25.0,17.0,4.0,7.0,4.0,9.0,2,44.44444444444444,100.0
2016-M014,Moscow,Hard,32,I,20161017,291,202494,4,,Elina Svitolina,R,174.0,UKR,22.0971937,15.0,2511.0,201709,,,Yulia Putintseva,R,163.0,KAZ,21.77686516,34.0,1480.0,6-2 6-2,3,R16,89.0,3.0,0.0,56.0,41.0,25.0,10.0,8.0,4.0,5.0,0.0,1.0,65.0,41.0,21.0,9.0,8.0,5.0,10.0,2,50.0,80.0
2016-1081,Zhuhai,Hard,12,I,20161031,299,202494,4,,Elina Svitolina,R,174.0,UKR,22.13552361,14.0,2456.0,202427,1,,Johanna Konta,R,180.0,GBR,25.45927447,10.0,3455.0,2-6 6-1 6-4,3,SF,100.0,4.0,3.0,78.0,54.0,39.0,8.0,13.0,1.0,4.0,3.0,2.0,70.0,49.0,31.0,9.0,12.0,4.0,8.0,3,50.0,25.0
2016-1081,Zhuhai,Hard,12,I,20161031,288,202494,4,,Elina Svitolina,R,174.0,UKR,22.13552361,14.0,2456.0,201455,7,,Elena Vesnina,R,176.0,RUS,30.25051335,19.0,2094.0,6-4 6-2,3,RR,84.0,2.0,2.0,74.0,48.0,31.0,16.0,9.0,8.0,8.0,0.0,2.0,61.0,36.0,22.0,11.0,9.0,2.0,5.0,2,40.0,100.0
2016-1081,Zhuhai,Hard,12,I,20161031,287,202494,4,,Elina Svitolina,R,174.0,UKR,22.13552361,14.0,2456.0,202428,10,,Kiki Bertens,R,182.0,NED,24.89253936,22.0,1912.0,2-6 6-4 6-2,3,RR,,4.0,2.0,85.0,61.0,36.0,15.0,13.0,3.0,6.0,4.0,3.0,90.0,59.0,40.0,10.0,13.0,5.0,9.0,3,55.55555555555556,50.0
