tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-0703,Stanford,Hard,32,I,20160718,295,202427,3,,Johanna Konta,R,180.0,GBR,25.17180014,18.0,2390.0,202453,,,Saisai Zheng,R,170.0,CHN,22.4476386,74.0,885.0,6-2 4-6 6-3,3,QF,141.0,3.0,6.0,83.0,50.0,31.0,16.0,13.0,9.0,14.0,1.0,1.0,96.0,63.0,31.0,13.0,14.0,3.0,11.0,3,27.27272727272727,64.28571428571429
2016-0703,Stanford,Hard,32,I,20160718,289,202453,,,Saisai Zheng,R,170.0,CHN,22.4476386,74.0,885.0,201427,7,,Alize Cornet,R,173.0,FRA,26.48596851,51.0,1095.0,6-4 6-1,3,R16,85.0,0.0,1.0,61.0,39.0,20.0,14.0,8.0,3.0,5.0,1.0,9.0,50.0,33.0,17.0,3.0,9.0,5.0,11.0,2,45.45454545454545,60.0
2016-0703,Stanford,Hard,32,I,20160718,276,202453,,,Saisai Zheng,R,170.0,CHN,22.4476386,74.0,885.0,215064,,WC,Maria Mateas,U,,USA,16.99383984,1058.0,7.0,7-5 6-1,3,R32,85.0,3.0,2.0,60.0,43.0,29.0,8.0,9.0,4.0,6.0,0.0,7.0,58.0,42.0,23.0,3.0,10.0,3.0,9.0,2,33.33333333333333,66.66666666666666
2016-0806,Montreal,Hard,64,I,20160725,240,211796,,WC,Francoise Abanda,R,178.0,CAN,19.466119100000004,272.0,168.0,202453,,Q,Saisai Zheng,R,170.0,CHN,22.46680356,66.0,965.0,6-1 7-5,3,R64,98.0,2.0,3.0,72.0,50.0,34.0,9.0,10.0,6.0,8.0,0.0,0.0,56.0,37.0,19.0,7.0,9.0,5.0,10.0,2,50.0,75.0
2016-O16,Olympics,Hard,64,I,20160808,123,202453,,,Saisai Zheng,R,170.0,CHN,22.50513347,63.0,970.0,201474,4,,Agnieszka Radwanska,R,170.0,POL,27.42505133,5.0,5340.0,6-4 7-5 ,3,R64,99.0,3.0,2.0,70.0,44.0,31.0,16.0,11.0,5.0,6.0,1.0,3.0,64.0,42.0,31.0,8.0,11.0,0.0,3.0,2,0.0,83.33333333333334
2016-O16,Olympics,Hard,64,I,20160808,143,214082,,,Darya Kasatkina,R,170.0,RUS,19.25530459,27.0,1773.0,202453,,,Saisai Zheng,R,170.0,CHN,22.50513347,63.0,970.0,6-1 6-4 ,3,R32,86.0,0.0,3.0,40.0,21.0,13.0,7.0,9.0,1.0,5.0,0.0,2.0,65.0,45.0,20.0,5.0,8.0,1.0,9.0,2,11.11111111111111,20.0
2016-M024,Cincinnati,Hard,64,P,20160815,268,201539,,WC,Christina Mchale,R,170.0,USA,24.26283368,59.0,985.0,202453,,Q,Saisai Zheng,R,170.0,CHN,22.52429843,62.0,970.0,6-2 6-2,3,R64,86.0,0.0,5.0,54.0,34.0,23.0,8.0,8.0,5.0,7.0,0.0,2.0,68.0,48.0,19.0,10.0,8.0,9.0,15.0,2,60.0,71.42857142857143
2016-560,Us Open,Hard,128,G,20160829,144,202453,,,Saisai Zheng,R,170.0,CHN,22.56262834,61.0,970.0,201620,32,,Monica Puig,R,170.0,PUR,22.92128679,35.0,1500.0,6-4 6-2,3,R128,79.0,2.0,0.0,55.0,34.0,25.0,12.0,9.0,2.0,3.0,0.0,0.0,50.0,29.0,13.0,14.0,9.0,2.0,6.0,2,33.33333333333333,66.66666666666666
2016-560,Us Open,Hard,128,G,20160829,186,201435,,,Kateryna Bondarenko,R,175.0,UKR,30.05886379,59.0,980.0,202453,,,Saisai Zheng,R,170.0,CHN,22.56262834,61.0,970.0,5-7 7-6(5) 7-5,3,R64,182.0,1.0,6.0,115.0,79.0,46.0,16.0,18.0,4.0,12.0,1.0,5.0,112.0,73.0,39.0,18.0,18.0,3.0,11.0,3,27.27272727272727,33.33333333333333
2016-0405,Japan Open Tokyo,Hard,32,I,20160912,276,204294,,Q,Su Jeong Jang,R,,KOR,21.50308008,186.0,291.0,202453,,,Saisai Zheng,R,170.0,CHN,22.60095825,70.0,900.0,4-6 6-3 6-3,3,R32,172.0,0.0,4.0,87.0,62.0,39.0,13.0,14.0,2.0,6.0,1.0,3.0,101.0,58.0,35.0,19.0,14.0,11.0,17.0,3,64.70588235294117,33.33333333333333
2016-1023,Guangzhou,Hard,32,I,20160919,273,201397,,WC,Shuai Peng,R,173.0,CHN,30.69678303,244.0,200.0,202453,8,,Saisai Zheng,R,170.0,CHN,22.6201232,74.0,865.0,4-6 6-2 6-3,3,R32,136.0,1.0,4.0,90.0,49.0,25.0,23.0,14.0,6.0,12.0,2.0,2.0,79.0,58.0,27.0,8.0,13.0,5.0,13.0,3,38.46153846153847,50.0
2016-1075,Wuhan,Hard,64,I,20160926,259,201468,,,Yaroslava Shvedova,R,180.0,KAZ,29.0403833,41.0,1247.0,202453,,WC,Saisai Zheng,R,170.0,CHN,22.63928816,79.0,825.0,6-0 6-3,3,R64,82.0,3.0,2.0,46.0,32.0,25.0,8.0,7.0,2.0,2.0,0.0,4.0,54.0,37.0,18.0,5.0,8.0,4.0,9.0,2,44.44444444444444,100.0
2016-M015,Beijing,Hard,64,P,20161003,258,201311,13,,Roberta Vinci,R,163.0,ITA,33.62354552,16.0,2345.0,202453,,WC,Saisai Zheng,R,170.0,CHN,22.65845311,79.0,825.0,6-0 3-6 6-3,3,R64,110.0,1.0,4.0,76.0,42.0,23.0,17.0,12.0,1.0,6.0,0.0,5.0,82.0,60.0,28.0,9.0,12.0,3.0,11.0,3,27.27272727272727,16.666666666666664
2016-1074,Hong Kong,Hard,32,I,20161010,277,201496,5,,Caroline Wozniacki,R,177.0,DEN,26.25051335,22.0,1970.0,202453,,,Saisai Zheng,R,170.0,CHN,22.67761807,79.0,825.0,6-1 6-4,3,R32,93.0,0.0,1.0,68.0,48.0,34.0,8.0,9.0,8.0,10.0,0.0,2.0,50.0,35.0,18.0,4.0,8.0,3.0,8.0,2,37.5,80.0
