,global_id,Departamental_Affiliation,Location,geodata_coordinates
15,860953618,Prefecture of Western   Administrative Okrug of Moscow,улица Кравченко дом 7,"[[[37.516170156346, 55.676065868411], [37.516486657009, 55.675871863324], [37.51667441164, 55.675768797729], [37.517135751591, 55.675647543739], [37.517420065746, 55.675526289371], [37.517580998287, 55.675414128744], [37.517768752918, 55.67520496347], [37.517822397099, 55.67506551933], [37.517768752918, 55.674883634919], [37.517591727123, 55.674792692395], [37.517446887836996, 55.674729032502], [37.517205489025, 55.674689623945], [37.516931903706, 55.674698718231], [37.516513479099, 55.674747221054], [37.51626671587, 55.674789660974], [37.516003859387, 55.674841195101], [37.515606892452, 55.675001859883], [37.515242112026, 55.675183743742], [37.515059721813, 55.675311061938], [37.514737856732, 55.675571759803], [37.514684212551, 55.675702108081], [37.514716399059, 55.675859737974], [37.51485050951, 55.675959771999], [37.515145552502, 55.676132557436], [37.515429866657, 55.676326561224], [37.515499604092, 55.67637506202], [37.515274298535, 55.676508438898], [37.514947069035, 55.676663034252], [37.51474322115, 55.676784285082], [37.514083397732, 55.67696919187], [37.513563049183, 55.677178347671], [37.513187539921, 55.677420845744], [37.512710106716, 55.677651217516], [37.512125385151, 55.677960398541], [37.511765969143, 55.678142268586], [37.511647951946, 55.678193798278], [37.511320722447, 55.678081645332], [37.511014950619, 55.677854307289], [37.510746729717, 55.677687591881], [37.511068594799, 55.677496626083], [37.511647951946, 55.67714197283], [37.512146842823, 55.676869160438], [37.513037336216, 55.676411437577], [37.513176811085, 55.676399312395], [37.513616693363, 55.676405374987], [37.513804447994, 55.676350811629], [37.514126313076, 55.676053743121], [37.514356983051, 55.675859737974], [37.514662754879, 55.675856706636], [37.514973891125, 55.676062837088], [37.515317213879, 55.676287154283], [37.515547883854, 55.67637506202], [37.516127241001, 55.676093150298]]]"
16,859841375,Prefecture of South-Eastern Administrative Okrug of Moscow,Парк на набережной (по ул.Гурьянова),"[[[37.717099976084, 55.687752312548], [37.716901492617, 55.687740190897], [37.716724466822, 55.687722008412], [37.716598402998, 55.687687158626], [37.716491114637, 55.687623519807], [37.716405283949, 55.687514424446], [37.71637577965, 55.687420480974], [37.71634627535, 55.687352296053], [37.716339508841, 55.687200076172], [37.716350237677, 55.687134921326], [37.716248313734, 55.68707431207], [37.716157118628, 55.686950062798], [37.716098110029, 55.686869755132], [37.716052512476, 55.68672277652], [37.716047148058, 55.686548522808], [37.716079334566, 55.686281837357], [37.71604158935, 55.68621075913], [37.715977216334, 55.686162270582], [37.715875292391, 55.686142572091], [37.715475643248, 55.686139541554], [37.715309346289, 55.686119843052], [37.715108180613, 55.686031957308]], [[37.71522234705, 55.67782371697], [37.71524916914, 55.678281423236], [37.715243804722, 55.678342046179], [37.7153564575, 55.678390544465], [37.715925085812, 55.678387513324], [37.71606456068, 55.678354170756], [37.716123569279, 55.678311734719], [37.716112840443, 55.678202613269], [37.716043103008, 55.678126834304], [37.716059196262, 55.677835841709], [37.715962636738, 55.677778249167], [37.715817797451, 55.677772186789], [37.715726602345, 55.677784311544], [37.715737331181, 55.677905558883], [37.715737331181, 55.678099553841], [37.715731966763, 55.67822989366], [37.715640771656, 55.678281423236], [37.715512025623, 55.678284454385], [37.715442288189, 55.678245049425], [37.715436923771, 55.677866153539]]]"
17,860469158,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 45-49","[[[37.534614302693, 55.834593202514], [37.536856629429, 55.835945679257]]]"
18,860448372,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 28","[[[37.530997186667, 55.827504964773], [37.531125932699, 55.829099242016]]]"
19,860475195,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 51","[[[37.541057424565, 55.837669888556], [37.542237596532, 55.838110621234]]]"
20,860475220,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 71","[[[37.549294204892, 55.840666821238], [37.550624580563, 55.841161852154], [37.550806970776, 55.841240332083]]]"
21,860475226,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, д. 77-79","[[[37.554236756007, 55.842732630918], [37.55812059466, 55.844048604538]]]"
22,860953617,Prefecture of Western   Administrative Okrug of Moscow,Рублевское шоссе от дома 16 корпус 1 до дома 52 а,"[[[37.433351869472, 55.740078427933], [37.432375545391, 55.740532376075], [37.431570882686, 55.740934872326], [37.430830592998, 55.741291970773], [37.429838175663, 55.741782219227], [37.428545350918, 55.74240561265], [37.427644128688, 55.742889794815], [37.426663886426, 55.743424598482], [37.425725113271, 55.743920872109], [37.424743424772, 55.744380827373], [37.424249898313, 55.744498841332], [37.424110423444, 55.74456843914]], [[37.421371640292, 55.745994124404], [37.421098054973, 55.746081874764], [37.420947851268, 55.746184754245], [37.420668901531, 55.746336047103], [37.4201539174, 55.746569036953], [37.419284881679, 55.74690490298], [37.418313922016, 55.747376926], [37.417509259311, 55.747743042471], [37.416752876369, 55.748115206917], [37.415991129009, 55.748469213691], [37.415025533763, 55.748962397239], [37.414285244075, 55.749313370674], [37.413440193193, 55.749710966509], [37.412211741465, 55.750307002856], [37.41132661249, 55.75074570397], [37.409813846605, 55.751459717256], [37.408601488131, 55.752025472701], [37.40664347555, 55.752969388576], [37.405318464296, 55.753616804792], [37.404728378313, 55.753861852040004], [37.404267038362, 55.754073620021], [37.401976431864, 55.755183870398], [37.401080574053, 55.755610415919], [37.400855268496, 55.755764697187], [37.400340284365, 55.756018806176]]]"
23,918424883,Prefecture of Western   Administrative Okrug of Moscow,Ул. Лобачевского (от проспекта Вернадского до Мичуринского проспекта),"[[[37.49386253925, 55.671165604678], [37.492628723103, 55.671608230838], [37.491802602727, 55.671881080076], [37.491073041874, 55.672129674378], [37.490064531285, 55.672451025651], [37.488970190007, 55.672960331664], [37.487757831532, 55.673590891789], [37.487425237614, 55.673833412196], [37.487307220418, 55.673954671833], [37.486631303746, 55.674385140498], [37.48601976009, 55.674900484051], [37.485440402943, 55.675470385454], [37.485139995534, 55.675894774699], [37.485272434441, 55.676077500114], [37.485132959573, 55.676216940625], [37.484886196343, 55.676204815389], [37.48470380613, 55.676289692007], [37.484403398721, 55.6766837596], [37.483652380197, 55.677962936157], [37.482934223018, 55.679196710394], [37.482000814281, 55.680687972358], [37.481206880413, 55.682027634614], [37.480466590725, 55.683203589756], [37.47996233543, 55.68396127399], [37.479533181987, 55.684421938808], [37.479125486217, 55.684882598171], [37.478760705791, 55.68524021155], [37.478481756054, 55.685549332333], [37.478267179332, 55.68573722808], [37.478234992824, 55.685919061811]]]"
24,860953624,Prefecture of Western   Administrative Okrug of Moscow,улица Минская от дома 1 до железнодорожного моста,"[[[37.501007005904, 55.720170284871], [37.500840708945, 55.720418570964], [37.50061003897, 55.720760718714], [37.50031259125, 55.721090167494]], [[37.499915624316, 55.721547365207], [37.499459648783, 55.722092362081], [37.499239707644, 55.722355774498], [37.499019766505, 55.722567714229]]]"
25,860575385,Prefecture of Western   Administrative Okrug of Moscow,от улицы Улофе Пальме 3 до улицы Мосфильмовская,"[[[37.510256185532, 55.71901066981], [37.510899915695, 55.71930135472], [37.512477054596, 55.71841112532], [37.516682758331, 55.716715393898], [37.516747131348, 55.716618492727], [37.516950979233, 55.716461027808]]]"
26,859852329,Prefecture of Troitsky and Novomoskovsky Administrative Okrugs of Moscow,"ул. Радужная, г. Московский","[[[37.374316200403, 55.589626819172], [37.376961355792, 55.589646109369], [37.377688234436, 55.589644590335], [37.378104743842, 55.589656370569], [37.378147659187, 55.589738397642], [37.378327367191, 55.589802196358], [37.378549990539, 55.589808272421], [37.378692147617, 55.589780930131], [37.378769931678, 55.5897186504], [37.378858444576, 55.589629028173], [37.378834304694, 55.58956371015], [37.378777978305, 55.589486239794], [37.378678736572, 55.589433073775], [37.378539261703, 55.589408769286], [37.378367600326, 55.589434592806], [37.378244218711004, 55.589518139371], [37.378230807666, 55.589568267225], [37.377707776908, 55.589572824293], [37.374387913563, 55.589592775183], [37.37431549392, 55.589591256165], [37.37431549392, 55.589611003472]]]"
27,860147180,Prefecture of North-Western   Administrative Okrug of Moscow,"г. Москва, район Куркино, территория между мкр.15 и мкр.4.","[[[37.392896385764, 55.894057174762], [37.392869563674, 55.894470136651], [37.392638893698, 55.894789651575], [37.392370672797, 55.895193562899], [37.39255306301, 55.895543214063], [37.392821283911, 55.895844634941], [37.392756910895, 55.896218393563], [37.392713995551, 55.896453497941], [37.392950029944, 55.896718742188], [37.392539499795, 55.89690134538], [37.392181424892, 55.897081438312], [37.392127780712, 55.897082945362]]]"
28,861562239,Prefecture of Southern Administrative Okrug of Moscow,Битцевский проезд,"[[[37.588034312251, 55.633381663757], [37.589156691736, 55.636222648581], [37.590150325189, 55.638978468808], [37.590987174402, 55.63959744224], [37.593626468072, 55.640483406692], [37.594549147974, 55.640616906441], [37.595450370203, 55.640604770119], [37.596480338464, 55.640544088453], [37.598475901971, 55.640398452069], [37.599194733987, 55.640252815136], [37.599849192987, 55.64009504119], [37.60174819697, 55.639476075679], [37.601962773691, 55.639330435308], [37.602230994592, 55.639027016121]]]"
29,860441232,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 22-24","[[[37.528280630112, 55.823420271564], [37.529214038849, 55.824344333124]]]"
30,860463305,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 35","[[[37.531186500491, 55.831161643132], [37.531765857638, 55.831807755434]]]"
31,858213825,Prefecture of Eastern    Administrative Okrug of Moscow,Район Измайлово,"[[[37.794334649006, 55.788646669066], [37.794415115276, 55.788630045009], [37.794565318981, 55.788631556287], [37.795123218456, 55.788637601399], [37.79617464439, 55.788652714176], [37.797188599509, 55.788664838246], [37.798178334635, 55.788679951012], [37.798744280738, 55.788689018669], [37.799487252635, 55.788701108875], [37.799846668643, 55.788707153976], [37.800667424601, 55.788719244176], [37.801925380629, 55.788740402017], [37.802480788129, 55.78874909335], [37.803958685296, 55.788771762447], [37.804838449853, 55.788785363899], [37.805812181616, 55.788793125703], [37.806048216009, 55.788796148247], [37.806909205103, 55.788817306046], [37.81013053813, 55.78889286952], [37.811031760359, 55.788907982197], [37.813676418447, 55.788953320192], [37.81508457818, 55.788980522965], [37.81603944459, 55.789001680663], [37.816849471712, 55.789016793298], [37.817758740568, 55.789037950976], [37.818300546789, 55.789051552335]]]"
