,Administrative_Area,geodata_coordinates
307,Vostochny'j administrativny'j okrug,"[37.82932700007, 55.818653999829]"
308,Vostochny'j administrativny'j okrug,"[37.725195000207, 55.792259000156]"
309,Vostochny'j administrativny'j okrug,"[37.814741999829, 55.793865999903]"
310,Severo-Vostochny'j administrativny'j okrug,"[37.619715000107, 55.888652000195]"
311,Severo-Vostochny'j administrativny'j okrug,"[37.642443000226, 55.880752999848]"
312,Severo-Vostochny'j administrativny'j okrug,"[37.642443000226, 55.880752999848]"
313,Severo-Vostochny'j administrativny'j okrug,"[37.601646999745, 55.891553000054]"
314,Severo-Vostochny'j administrativny'j okrug,"[37.704643999805, 55.879587000001]"
315,Severny'j administrativny'j okrug,"[37.500194999565, 55.844942000148]"
316,Severny'j administrativny'j okrug,"[37.504621999693, 55.821963000023]"
317,Severny'j administrativny'j okrug,"[37.542242000199, 55.842415000024]"
318,Severny'j administrativny'j okrug,"[37.527200000024, 55.836591000029]"
319,Severny'j administrativny'j okrug,"[37.534191000382, 55.867697999953]"
320,Severny'j administrativny'j okrug,"[37.575990000421, 55.806476999904]"
321,Severny'j administrativny'j okrug,"[37.5171880004, 55.847547999858]"
322,Severny'j administrativny'j okrug,"[37.522475999795, 55.882860999953]"
323,Severny'j administrativny'j okrug,"[37.539705999558, 55.87596899985]"
324,Severny'j administrativny'j okrug,"[37.523119000401, 55.859726000229]"
325,Severny'j administrativny'j okrug,"[37.513841999647, 55.879125999842]"
326,Severny'j administrativny'j okrug,"[37.518267000125, 55.801023999896]"
327,Severny'j administrativny'j okrug,"[37.481532000074, 55.846642000028]"
328,Severny'j administrativny'j okrug,"[37.519309999865, 55.828190000169]"
329,Severny'j administrativny'j okrug,"[37.515717000139, 55.865333000067]"
330,Severny'j administrativny'j okrug,"[37.529581999781, 55.867737999818]"
331,Severny'j administrativny'j okrug,"[37.554476999571, 55.875505999897]"
332,Severo-Zapadny'j administrativny'j okrug,"[37.455903000339, 55.839310000101]"
333,Severo-Zapadny'j administrativny'j okrug,"[37.452431000088, 55.807956999983]"
334,Severo-Zapadny'j administrativny'j okrug,"[37.444464999761, 55.848240000137]"
335,Severo-Zapadny'j administrativny'j okrug,"[37.413382999877, 55.853279000035]"
336,Severo-Zapadny'j administrativny'j okrug,"[37.383003999974, 55.904138999787]"
337,Severo-Zapadny'j administrativny'j okrug,"[37.383198000143, 55.904394000189]"
338,Severo-Zapadny'j administrativny'j okrug,"[37.482557000271, 55.773666000054]"
339,Severo-Zapadny'j administrativny'j okrug,"[37.446710999974, 55.85800999987]"
340,Severo-Zapadny'j administrativny'j okrug,"[37.442467000144, 55.863243000132]"
341,Severo-Zapadny'j administrativny'j okrug,"[37.459183999896, 55.81607900025]"
342,Severny'j administrativny'j okrug,"[37.578249999979, 55.792408999887]"
343,Severny'j administrativny'j okrug,"[37.524349999564, 55.83523700007]"
