,bicycle_count,bicycle_death_count,crash_year,dec_lat,dec_long
9208,1,0,2017,40.053000000000004,-75.157
9255,1,0,2017,39.9463,-75.238
9271,1,0,2017,39.9585,-75.2252
9278,1,0,2017,39.9855,-75.1239
9298,1,0,2017,39.9445,-75.1641
9343,1,0,2017,39.9699,-75.1314
9392,1,0,2017,39.9448,-75.1751
9468,1,0,2017,39.974000000000004,-75.1325
9476,1,0,2017,39.9867,-75.1351
9521,1,0,2017,39.9513,-75.1991
9618,1,0,2017,39.9869,-75.1307
9621,1,0,2017,39.9952,-75.1158
9665,1,0,2017,40.032,-75.1058
9666,1,0,2017,39.9548,-75.1664
9680,1,0,2017,39.9361,-75.1753
9694,1,0,2017,40.0726,-75.0138
9713,1,0,2017,40.0336,-75.0636
9715,1,0,2017,39.9513,-75.1551
9737,1,0,2017,40.0538,-75.1783
9740,1,0,2017,39.9808,-75.1385
9746,1,0,2017,40.0366,-75.0795
9751,1,0,2017,39.9748,-75.139
9754,1,0,2017,39.9309,-75.1622
9781,1,0,2017,39.9638,-75.22
9884,1,0,2017,39.9462,-75.2388
9885,1,0,2017,39.9446,-75.1735
9923,1,0,2017,40.0336,-75.0468
9968,1,0,2017,39.9453,-75.1629
9971,1,0,2017,39.9632,-75.1667
9993,1,0,2017,39.9777,-75.2264
9999,1,0,2017,39.9654,-75.1919
10040,1,0,2017,39.9777,-75.2264
10042,1,0,2017,39.942,-75.1523
10164,1,0,2017,40.0,-75.1405
10192,1,0,2017,40.0795,-74.9918
10270,1,0,2017,39.9513,-75.1991
10277,1,0,2017,39.9759,-75.1471
10279,1,0,2017,39.9543,-75.1632
10303,1,0,2017,40.0385,-75.1689
10315,1,0,2017,40.0137,-75.126
10466,1,0,2017,40.0406,-75.1698
10472,1,0,2017,39.9346,-75.2273
10475,1,0,2017,39.9547,-75.1495
10495,1,0,2017,39.995,-75.1261
10531,1,0,2017,40.0212,-75.152
10541,1,0,2017,39.9544,-75.1925
10579,1,0,2017,39.9602,-75.2051
10589,1,0,2017,40.039,-75.15
10619,1,0,2017,39.9645,-75.1513
10630,1,0,2017,40.0193,-75.0649
10644,1,0,2017,40.0109,-75.0887
