School Year,SRC School ID,School Name,Learning Network,Grade Level,Student Enrollment,ELL Count,ELL Pct,Not ELL Count,Not ELL Pct,IEP Count,IEP Pct,Not IEP Count,Not IEP Pct,Female Count,Female Pct,Male Count,Male Pct,American Indian Count,American Indian Pct,Asian Count,Asian Pct,Black/African American Count,Black/African American Pct,Hispanic Count,Hispanic Pct,Multi-Race Count,Multi-Race Pct,Pacific Islander Count,Pacific Islander Pct,White Count,White Pct,CEP Economically Disadvantaged Rate
2018-2019,823,Kennedy C. Crossan School,Network 8,05,66,8,12.12,58,87.88,7,10.61,59,89.39,31,46.97,35,53.03,1,1.52,4,6.06,22,33.33,13,19.70,12,18.18,0,0.00,14,21.21,.
2018-2019,823,Kennedy C. Crossan School,Network 8,All Grades,329,43,13.07,286,86.93,34,10.33,295,89.67,161,48.94,168,51.06,1,0.30,31,9.42,113,34.35,57,17.33,36,10.94,1,0.30,90,27.36,100.00
2018-2019,824,Hamilton Disston School,Network 9,00,89,3,3.37,86,96.63,4,4.49,85,95.51,40,44.94,49,55.06,1,1.12,2,2.25,29,32.58,31,34.83,5,5.62,0,0.00,21,23.60,.
2018-2019,824,Hamilton Disston School,Network 9,01,101,4,3.96,97,96.04,8,7.92,93,92.08,55,54.46,46,45.54,0,0.00,3,2.97,35,34.65,31,30.69,12,11.88,0,0.00,20,19.80,.
2018-2019,824,Hamilton Disston School,Network 9,02,101,3,2.97,98,97.03,6,5.94,95,94.06,48,47.52,53,52.48,0,0.00,2,1.98,45,44.55,27,26.73,10,9.90,1,0.99,16,15.84,.
2018-2019,824,Hamilton Disston School,Network 9,03,90,14,15.56,76,84.44,8,8.89,82,91.11,42,46.67,48,53.33,0,0.00,1,1.11,32,35.56,30,33.33,16,17.78,0,0.00,11,12.22,.
2018-2019,824,Hamilton Disston School,Network 9,04,117,21,17.95,96,82.05,10,8.55,107,91.45,57,48.72,60,51.28,0,0.00,0,0.00,46,39.32,36,30.77,13,11.11,0,0.00,22,18.80,.
2018-2019,824,Hamilton Disston School,Network 9,05,80,11,13.75,69,86.25,18,22.50,62,77.50,46,57.50,34,42.50,0,0.00,5,6.25,33,41.25,27,33.75,5,6.25,0,0.00,10,12.50,.
2018-2019,824,Hamilton Disston School,Network 9,06,102,12,11.76,90,88.24,11,10.78,91,89.22,61,59.80,41,40.20,0,0.00,3,2.94,36,35.29,35,34.31,12,11.76,0,0.00,16,15.69,.
2018-2019,824,Hamilton Disston School,Network 9,07,114,16,14.04,98,85.96,19,16.67,95,83.33,55,48.25,59,51.75,1,0.88,3,2.63,44,38.60,34,29.82,10,8.77,0,0.00,22,19.30,.
2018-2019,824,Hamilton Disston School,Network 9,08,105,11,10.48,94,89.52,15,14.29,90,85.71,49,46.67,56,53.33,1,0.95,0,0.00,40,38.10,33,31.43,14,13.33,0,0.00,17,16.19,.
2018-2019,824,Hamilton Disston School,Network 9,All Grades,899,95,10.57,804,89.43,99,11.01,800,88.99,453,50.39,446,49.61,3,0.33,19,2.11,340,37.82,284,31.59,97,10.79,1,0.11,155,17.24,100.00
2018-2019,825,Edwin Forrest School,Network 9,00,153,4,2.61,149,97.39,6,3.92,147,96.08,87,56.86,66,43.14,2,1.31,8,5.23,53,34.64,47,30.72,19,12.42,0,0.00,24,15.69,.
